Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIAs) by Census subdivision (CSD) and Province/Territory,,,,,,,,,
Province/Territory,CSD,2016,2017,2018,2019,2020,2021,2022,2023
,2417065-Saint-Roch-des-Aulnaies,0,0,6,16,18,21,19,19
,2417070-Saint-Jean-Port-Joli,5,2,6,15,26,11,86,41
,2417078-L'Islet,27,22,53,44,69,64,116,102
,2418005-Saint-Just-de-Bretenières,0,0,4,7,5,6,21,18
,2418030-Saint-Paul-de-Montminy,0,0,0,0,0,0,0,1
,2418035-Sainte-Euphémie-sur-Rivière-du-Sud,0,0,0,4,4,0,0,0
,2418040-Notre-Dame-du-Rosaire,0,0,0,2,0,0,0,0
,2418045-Cap-Saint-Ignace,1,7,14,23,36,29,66,50
,2418050-Montmagny,3,0,4,30,30,15,81,98
,2418055-Saint-Pierre-de-la-Rivière-du-Sud,0,0,3,2,2,4,8,7
,2418060-Saint-François-de-la-Rivière-du-Sud,12,19,18,36,27,35,70,47
,2418065-Berthier-sur-Mer,0,0,0,1,0,1,0,2
,2418070-Saint-Antoine-de-l'Isle-aux-Grues,6,8,7,9,9,15,10,6
,2419005-Saint-Philémon,0,0,0,0,0,1,1,1
,2419010-Notre-Dame-Auxiliatrice-de-Buckland,0,0,0,0,0,1,1,4
,2419015-Saint-Nazaire-de-Dorchester,0,0,3,2,2,5,8,3
,2419020-Saint-Léon-de-Standon,0,0,0,3,1,3,4,5
,2419025-Saint-Malachie,0,2,0,0,1,1,2,4
,2419030-Saint-Damien-de-Buckland,6,6,2,38,48,61,21,69
,2419037-Armagh,0,0,0,2,2,2,1,3
,2419050-Saint-Lazare-de-Bellechasse,4,8,9,5,11,19,13,16
,2419055-Sainte-Claire,8,15,12,30,25,17,75,78
,2419062-Saint-Anselme,18,25,41,97,71,68,315,159
,2419068-Saint-Henri,30,5,56,98,82,88,278,134
,2419070-Honfleur,0,0,0,1,1,5,8,18
,2419075-Saint-Gervais,0,0,2,4,6,10,12,12
,2419082-Saint-Raphaël,0,0,4,1,1,2,5,8
,2419090-La Durantaye,16,10,13,15,14,15,29,25
,2419097-Saint-Charles-de-Bellechasse,61,50,60,77,12,110,51,100
,2419105-Beaumont,0,2,7,14,13,14,21,74
,2419110-Saint-Michel-de-Bellechasse,0,0,0,8,6,9,11,25
,2419117-Saint-Vallier,1,0,2,9,8,13,19,15
,2420005-Saint-François-de-l'Île-d'Orléans,29,33,16,109,60,63,61,71
,2420010-Sainte-Famille,51,19,30,58,72,55,96,83
,2420015-Saint-Jean-de-l'Île-d'Orléans,219,281,244,29,355,494,370,406
,2420020-Saint-Laurent-de-l'Île-d'Orléans,427,404,450,642,455,512,726,765
,2420025-Saint-Pierre-de-l'Île-d'Orléans,0,0,39,15,45,25,87,65
,2420030-Sainte-Pétronille,64,72,127,105,6,189,130,95
,2421005-Saint-Tite-des-Caps,4,1,0,0,0,0,5,0
,2421010-Saint-Ferréol-les-Neiges,5,3,2,8,4,9,4,4
,2421020-Saint-Joachim,0,0,0,0,1,0,0,1
,2421025-Beaupré,0,0,1,2,2,1,17,24
,2421030-Sainte-Anne-de-Beaupré,0,1,0,0,2,13,7,14
,2421035-Château-Richer,0,0,1,4,4,11,13,20
,2421040-L'Ange-Gardien,0,0,0,1,0,0,19,6
,2421045-Boischatel,0,0,1,0,1,0,11,6
,2422005-Sainte-Catherine-de-la-Jacques-Cartier,2,0,1,11,11,7,37,21
,2422020-Shannon,0,0,0,0,1,0,10,14
,2422025-Saint-Gabriel-de-Valcartier,0,0,0,5,2,0,3,25
,2422030-Lac-Delage,0,0,0,0,0,0,0,3
,2422035-Stoneham-et-Tewkesbury,1,1,1,1,2,1,22,21
,2422040-Lac-Beauport,2,5,9,5,2,1,18,15
,2422045-Sainte-Brigitte-de-Laval,0,0,0,0,6,16,43,30
,2423027-Québec,245,326,639,"1,217","1,210","1,201","3,657","3,502"
,2423057-L'Ancienne-Lorette,1,0,4,9,14,15,72,129
,2423072-Saint-Augustin-de-Desmaures,22,17,45,66,137,111,452,270
,2423802-Wendake,0,0,0,1,1,1,5,0
,2425213-Lévis,332,281,294,709,676,873,"1,639","1,095"
,2426005-Frampton,0,0,0,2,1,5,10,12
,2426010-Saints-Anges,0,0,8,14,15,4,26,20
,2426015-Vallée-Jonction,0,119,0,129,125,14,205,30
,2426022-Saint-Elzéar,4,6,9,15,22,21,36,34
,2426030-Sainte-Marie,15,14,29,79,105,83,338,212
,2426035-Sainte-Marguerite,0,0,2,21,4,9,14,11
,2426040-Sainte-Hénédine,0,0,1,1,5,5,8,4
,2426048-Scott,0,1,3,5,18,40,51,54
,2426055-Saint-Bernard,45,14,31,82,91,100,109,71
,2426063-Saint-Isidore,10,11,14,34,13,40,20,46
,2426070-Saint-Lambert-de-Lauzon,2,10,9,34,23,22,95,64
,2427008-Saint-Victor,1,0,0,7,16,1,26,40
,2427015-Saint-Alfred,0,0,0,0,0,0,0,1
,2427028-Beauceville,0,2,1,22,30,28,103,53
,2427035-Saint-Odilon-de-Cranbourne,9,10,9,16,17,13,33,39
,2427043-Saint-Joseph-de-Beauce,12,15,26,40,61,70,73,100
,2427055-Saint-Jules,0,0,0,2,7,1,19,1
,2427060-Tring-Jonction,0,1,4,6,7,10,16,10
,2427065-Saint-Frédéric,0,3,3,7,5,5,19,23
,2427070-Saint-Séverin,0,0,0,1,3,0,0,0
,2428015-Sainte-Aurélie,0,0,0,0,1,8,19,6
,2428020-Saint-Prosper,0,4,0,32,6,29,41,19
,2428025-Saint-Benjamin,0,0,0,2,2,2,2,2
,2428030-Sainte-Rose-de-Watford,0,5,0,2,1,2,5,3
,2428045-Sainte-Justine,9,33,20,69,39,25,104,48
,2428053-Lac-Etchemin,0,1,3,2,0,7,7,3
,2429005-Saint-Théophile,0,0,0,1,1,2,6,10
,2429013-Saint-Gédéon-de-Beauce,0,0,20,21,78,3,66,20
,2429025-Saint-Évariste-de-Forsyth,8,33,32,35,42,69,41,80
,2429030-La Guadeloupe,5,10,0,19,7,27,37,36
,2429038-Saint-Honoré-de-Shenley,13,7,92,124,110,86,78,34
,2429045-Saint-Martin,0,0,15,20,36,29,61,30
,2429050-Saint-René,0,0,0,0,0,0,2,0
,2429057-Saint-Côme--Linière,8,1,12,13,28,23,89,31
,2429065-Saint-Philibert,0,0,0,0,6,0,9,3
,2429073-Saint-Georges,35,50,79,125,163,99,412,307
,2429100-Saint-Benoît-Labre,7,4,16,18,14,19,51,52
,2429112-Saint-Éphrem-de-Beauce,2,2,17,63,56,46,115,42
,2429125-Saint-Simon-les-Mines,0,0,10,0,0,0,0,0
,2430005-Saint-Augustin-de-Woburn,0,1,0,0,0,0,5,1
,2430010-Notre-Dame-des-Bois,0,0,0,0,0,1,0,0
,2430030-Lac-Mégantic,0,0,0,8,23,7,62,19
,2430040-Milan,0,0,0,0,0,6,0,0
,2430045-Nantes,0,0,0,3,0,5,11,0
,2430050-Sainte-Cécile-de-Whitton,0,0,0,0,0,0,4,6
,2430055-Audet,0,0,0,0,0,1,1,2
,2430070-Saint-Robert-Bellarmin,0,0,0,2,3,2,3,2
,2430072-Saint-Ludger,0,0,16,8,16,4,30,13
,2430080-Lac-Drolet,20,31,35,64,31,76,48,35
,2430085-Saint-Sébastien,1,0,0,3,3,2,20,7
,2430090-Courcelles,9,15,21,50,53,48,11,34
,2430095-Lambton,4,2,2,7,12,12,22,14
,2430100-Saint-Romain,4,6,5,4,10,3,40,42
,2430105-Stornoway,0,4,10,1,0,0,0,5
,2430110-Stratford,6,6,9,8,8,18,11,13
,2431008-Beaulac-Garthby,0,0,1,1,0,0,0,0
,2431020-Disraeli,1,1,20,23,18,34,28,14
,2431030-Saint-Fortunat,5,0,0,0,0,0,0,3
,2431035-Saint-Julien,2,2,6,8,0,6,9,6
,2431040-Irlande,0,0,0,2,0,0,2,0
,2431050-Sainte-Praxède,0,0,0,1,1,1,2,3
,2431056-Adstock,15,0,17,164,276,203,288,182
,2431060-Sainte-Clotilde-de-Beauce,85,83,74,27,48,42,54,32
,2431084-Thetford Mines,8,24,83,143,153,158,316,175
,2431095-Saint-Adrien-d'Irlande,0,0,0,0,0,1,3,3
,2431100-Saint-Jean-de-Brébeuf,0,0,0,5,9,10,13,9
,2431105-Kinnear's Mills,0,0,2,2,8,7,7,7
,2431122-East Broughton,2,2,3,13,15,9,15,8
,2431135-Saint-Pierre-de-Broughton,0,0,2,15,17,9,25,15
,2431140-Saint-Jacques-de-Leeds,0,4,55,17,10,4,21,10
,2432013-Saint-Ferdinand,25,25,25,6,0,4,6,7
,2432023-Sainte-Sophie-d'Halifax,1,0,3,2,3,1,4,0
,2432033-Princeville,23,33,82,79,138,119,194,64
,2432040-Plessisville,15,7,22,30,18,86,154,95
,2432045-Plessisville,31,20,31,103,86,49,182,105
,2432050-Saint-Pierre-Baptiste,0,0,3,0,0,1,0,2
,2432058-Inverness,5,7,6,8,11,18,8,10
,2432065-Lyster,11,7,18,57,31,55,70,59
,2432072-Laurierville,17,7,14,12,14,37,63,50
,2432080-Notre-Dame-de-Lourdes,96,77,96,94,89,40,83,60
,2432085-Villeroy,7,8,12,19,55,41,86,68
,2433007-Saint-Sylvestre,51,19,38,56,35,83,40,52
,2433017-Sainte-Agathe-de-Lotbinière,9,5,10,30,25,15,10,19
,2433030-Saint-Narcisse-de-Beaurivage,5,2,12,18,11,20,37,19
,2433035-Saint-Gilles,10,2,7,17,0,13,14,27
,2433040-Dosquet,7,4,12,20,31,22,30,37
,2433045-Saint-Agapit,1,2,4,8,10,4,40,39
,2433052-Saint-Flavien,15,13,12,19,16,20,15,22
,2433060-Laurier-Station,0,0,7,19,24,32,76,45
,2433065-Saint-Janvier-de-Joly,0,0,5,7,2,20,11,15
,2433070-Val-Alain,0,2,6,3,14,4,13,14
,2433080-Saint-Édouard-de-Lotbinière,3,5,18,27,39,41,102,32
,2433085-Notre-Dame-du-Sacré-Coeur-d'Issoudun,0,1,4,3,2,7,4,9
,2433090-Saint-Apollinaire,116,91,113,93,88,68,118,88
,2433095-Saint-Antoine-de-Tilly,4,2,7,14,32,41,42,72
,2433102-Sainte-Croix,13,21,7,28,19,22,95,48
,2433115-Lotbinière,4,1,6,3,7,6,22,8
,2433123-Leclercville,0,0,3,4,4,4,6,6
,2434007-Neuville,15,18,35,32,48,30,48,51
,2434017-Pont-Rouge,60,60,58,111,167,159,245,128
,2434025-Donnacona,0,7,2,18,9,29,80,45
,2434030-Cap-Santé,5,8,12,13,16,16,18,16
,2434038-Saint-Basile,5,7,11,16,13,19,14,13
,2434048-Portneuf,24,28,31,35,68,109,99,143
,2434058-Deschambault-Grondines,0,9,4,18,5,7,11,27
,2434060-Saint-Gilbert,0,0,0,4,3,0,11,3
,2434065-Saint-Marc-des-Carrières,2,0,4,5,1,2,30,20
,2434078-Saint-Casimir,1,0,7,1,1,7,7,2
,2434085-Saint-Thuribe,2,2,2,4,5,7,8,10
,2434090-Saint-Ubalde,13,22,19,76,77,100,77,105
,2434097-Saint-Alban,0,1,5,2,4,1,12,31
,2434105-Sainte-Christine-d'Auvergne,12,6,9,17,4,0,3,0
,2434128-Saint-Raymond,0,0,1,5,53,8,65,55
,2434135-Rivière-à-Pierre,0,0,0,6,4,2,15,27
,2435010-Lac-aux-Sables,0,0,0,0,0,0,0,1
,2435015-Saint-Adelphe,4,5,3,3,4,2,0,17
,2435020-Saint-Séverin,0,0,0,1,1,1,0,1
,2435027-Saint-Tite,1,6,7,7,14,11,17,13
,2435035-Hérouxville,0,0,2,3,1,3,5,3
,2435045-Saint-Roch-de-Mékinac,0,0,0,0,0,0,0,1
,2435050-Sainte-Thècle,0,0,0,1,6,6,17,13
,2435055-Trois-Rives,0,0,0,0,0,1,3,2
,2436033-Shawinigan,72,141,42,205,90,201,208,206
,2437067-Trois-Rivières,23,20,86,229,203,142,509,407
,2437205-Sainte-Anne-de-la-Pérade,25,59,33,39,12,11,15,11
,2437210-Batiscan,20,3,10,14,15,18,15,20
,2437215-Sainte-Geneviève-de-Batiscan,5,5,4,8,1,10,10,12
,2437220-Champlain,28,18,16,37,31,52,65,36
,2437225-Saint-Luc-de-Vincennes,0,1,4,4,3,6,4,4
,2437230-Saint-Maurice,3,3,2,6,3,12,17,10
,2437235-Notre-Dame-du-Mont-Carmel,0,0,0,17,25,22,31,22
,2437240-Saint-Narcisse,0,2,2,9,3,1,11,11
,2437250-Saint-Prosper-de-Champlain,1,1,1,1,0,2,1,1
,2438005-Saint-Sylvère,0,1,5,16,8,6,25,21
,2438010-Bécancour,3,7,15,35,31,131,107,162
,2438015-Sainte-Marie-de-Blandford,0,0,0,1,0,1,2,2
,2438020-Lemieux,19,5,14,26,14,25,21,3
,2438028-Manseau,0,4,6,8,10,15,17,42
,2438035-Sainte-Françoise,0,0,3,5,13,11,9,14
,2438040-Sainte-Sophie-de-Lévrard,10,10,9,23,24,21,33,23
,2438047-Fortierville,0,0,5,8,11,11,16,9
,2438055-Parisville,3,0,4,13,7,12,16,14
,2438060-Sainte-Cécile-de-Lévrard,0,4,4,4,7,6,8,5
,2438065-Saint-Pierre-les-Becquets,0,0,0,0,0,0,3,4
,2438070-Deschaillons-sur-Saint-Laurent,0,1,1,3,3,2,4,3
,2438802-Wôlinak,0,0,0,0,0,0,0,2
,2439005-Saints-Martyrs-Canadiens,0,0,1,0,0,0,0,0
,2439010-Ham-Nord,27,24,53,33,41,38,39,51
,2439020-Saint-Rémi-de-Tingwick,0,0,6,10,9,6,11,8
,2439025-Tingwick,7,24,38,42,55,75,53,41
,2439030-Chesterville,0,3,7,5,0,7,4,6
,2439035-Sainte-Hélène-de-Chester,0,0,2,0,2,0,0,0
,2439043-Saint-Norbert-d'Arthabaska,0,1,2,4,1,4,1,4
,2439060-Saint-Christophe-d'Arthabaska,11,9,18,10,25,10,25,23
,2439062-Victoriaville,72,84,68,170,198,179,454,366
,2439077-Warwick,1,6,40,25,38,28,82,67
,2439085-Saint-Albert,10,13,30,43,31,50,84,44
,2439097-Kingsey Falls,2,6,17,44,37,112,220,161
,2439117-Sainte-Clotilde-de-Horton,2,5,11,21,10,9,9,16
,2439130-Saint-Samuel,0,3,11,9,4,8,3,18
,2439135-Saint-Valère,0,4,2,8,0,4,31,29
,2439145-Saint-Rosaire,14,11,19,13,17,10,21,27
,2439165-Maddington Falls,0,2,14,3,21,19,35,31
,2439170-Saint-Louis-de-Blandford,147,103,174,187,169,137,213,198
,2440017-Wotton,0,2,3,16,13,14,20,34
,2440043-Asbestos,0,5,8,20,12,10,35,87
,2440047-Danville,19,17,44,44,38,35,63,21
,2441012-Saint-Isidore-de-Clifton,0,0,0,0,0,1,2,4
,2441020-Chartierville,0,0,0,24,8,16,1,1
,2441027-La Patrie,0,0,18,14,11,27,23,24
,2441038-Cookshire-Eaton,70,38,41,42,60,55,80,69
,2441055-Ascot Corner,0,0,0,4,0,7,13,6
,2441065-Westbury,0,0,0,0,2,0,10,14
,2441070-Bury,33,26,86,80,23,44,62,59
,2441080-Scotstown,0,0,0,0,1,8,6,7
,2441085-Lingwick,0,0,0,0,0,0,0,2
,2441098-Weedon,0,0,5,9,136,9,23,16
,2441117-Dudswell,0,0,0,0,0,1,0,0
,2442005-Stoke,7,7,23,6,16,32,50,63
,2442020-Saint-François-Xavier-de-Brompton,0,0,5,19,29,13,26,21
,2442025-Saint-Denis-de-Brompton,0,0,1,1,0,2,4,12
,2442032-Racine,0,0,0,1,2,2,8,10
,2442040-Bonsecours,0,3,0,9,3,2,226,0
,2442045-Lawrenceville,1,1,0,0,0,0,0,0
,2442050-Sainte-Anne-de-la-Rochelle,0,0,0,2,4,8,4,0
,2442060-Valcourt,25,19,17,23,27,27,47,54
,2442065-Maricourt,0,0,0,0,0,1,7,7
,2442075-Melbourne,1,1,0,5,6,14,16,35
,2442088-Windsor,5,13,0,13,14,6,49,14
,2442095-Val-Joli,12,18,20,21,18,20,23,19
,2442098-Richmond,0,7,4,9,18,7,49,74
,2442100-Saint-Claude,0,0,2,5,0,0,0,0
,2443027-Sherbrooke,85,71,133,232,430,471,841,711
,2444003-Saint-Malo,0,0,0,1,0,1,3,1
,2444010-East Hereford,3,8,11,29,17,14,30,21
,2444015-Saint-Herménégilde,0,0,0,0,15,9,12,12
,2444023-Dixville,0,0,0,0,6,3,3,5
,2444037-Coaticook,30,23,82,109,113,113,104,166
,2444055-Sainte-Edwidge-de-Clifton,1,0,5,7,3,6,12,49
,2444060-Martinville,0,0,0,0,0,1,4,5
,2444071-Compton,31,41,188,318,96,54,140,74
,2444080-Waterville,4,2,1,0,4,0,57,25
,2445008-Stanstead,0,2,12,13,14,17,30,41
,2445020-Ogden,0,0,0,0,14,1,73,35
,2445030-Potton,0,1,0,0,2,5,15,8
,2445035-Ayer's Cliff,17,12,14,12,3,28,12,11
,2445043-Hatley,32,0,19,52,44,35,74,68
,2445055-Hatley,1,2,5,2,6,7,19,36
,2445060-Sainte-Catherine-de-Hatley,0,0,0,0,0,2,2,7
,2445072-Magog,14,5,7,36,65,31,125,163
,2445085-Austin,0,0,0,1,0,0,0,0
,2445093-Eastman,0,0,0,1,0,2,6,7
,2445095-Bolton-Est,0,0,0,0,0,2,0,0
,2445115-Orford,0,0,0,0,1,1,15,19
,2446005-Abercorn,6,2,6,7,0,3,0,16
,2446010-Frelighsburg,207,192,172,244,206,245,233,215
,2446017-Saint-Armand,12,11,12,15,17,25,28,17
,2446025-Pike River,0,0,2,7,6,4,10,6
,2446030-Stanbridge Station,3,3,3,3,0,42,13,7
,2446040-Bedford,45,42,51,77,102,116,133,182
,2446045-Stanbridge East,14,4,9,11,15,10,17,17
,2446050-Dunham,173,126,156,210,205,173,250,235
,2446058-Sutton,23,20,20,26,36,37,32,41
,2446065-Bolton-Ouest,0,0,0,0,0,1,12,2
,2446075-Lac-Brome,16,9,2,28,30,49,105,111
,2446078-Bromont,7,6,8,3,9,15,74,69
,2446080-Cowansville,0,0,1,5,19,14,58,68
,2446085-East Farnham,0,0,1,2,2,2,11,0
,2446090-Brigham,2,9,3,15,7,6,19,10
,2446095-Saint-Ignace-de-Stanbridge,0,0,5,0,9,14,7,11
,2446100-Notre-Dame-de-Stanbridge,0,0,0,0,2,6,5,9
,2446105-Sainte-Sabine,26,13,3,45,17,35,87,37
,2446112-Farnham,4,11,10,20,29,23,59,51
,2447010-Saint-Alphonse-de-Granby,0,2,5,7,41,33,34,45
,2447017-Granby,8,21,27,82,88,91,391,264
,2447025-Waterloo,0,0,0,0,3,5,24,6
,2447035-Shefford,0,0,3,3,2,3,4,6
,2447040-Saint-Joachim-de-Shefford,0,0,0,0,2,12,10,7
,2447047-Roxton Pond,0,0,1,5,9,14,20,18
,2447055-Sainte-Cécile-de-Milton,6,10,0,35,9,9,11,40
,2448005-Béthanie,0,0,0,1,0,2,5,4
,2448020-Sainte-Christine,0,0,0,5,18,4,13,9
,2448028-Acton Vale,2,0,3,3,39,13,99,42
,2448038-Upton,2,5,26,32,29,38,69,45
,2448045-Saint-Théodore-d'Acton,3,5,7,23,12,19,19,18
,2448050-Saint-Nazaire-d'Acton,0,0,0,7,3,26,25,11
,2449005-Saint-Félix-de-Kingsey,2,0,0,2,1,10,13,14
,2449020-Lefebvre,0,0,0,4,3,7,8,6
,2449025-L'Avenir,10,7,13,6,9,13,19,25
,2449030-Saint-Lucien,73,60,99,73,13,56,55,73
,2449040-Wickham,0,1,11,35,76,147,107,84
,2449048-Saint-Germain-de-Grantham,13,23,23,77,57,70,142,110
,2449058-Drummondville,40,89,142,364,237,305,748,598
,2449070-Saint-Cyrille-de-Wendover,0,2,4,8,26,8,34,28
,2449075-Notre-Dame-du-Bon-Conseil,8,5,15,12,15,19,51,37
,2449085-Sainte-Brigitte-des-Saults,70,37,41,104,77,131,114,130
,2449095-Saint-Majorique-de-Grantham,2,2,5,3,6,7,12,11
,2449105-Saint-Eugène,1,0,0,11,16,0,22,18
,2449113-Saint-Guillaume,10,1,1,7,6,12,23,26
,2449125-Saint-Bonaventure,8,5,5,5,8,3,10,5
,2449130-Saint-Pie-de-Guire,0,0,0,1,1,1,2,0
,2450005-Sainte-Eulalie,2,2,11,22,21,41,73,45
,2450013-Aston-Jonction,4,13,3,24,19,0,7,7
,2450023-Saint-Wenceslas,6,12,24,57,61,61,69,66
,2450035-Saint-Célestin,1,2,2,7,2,15,14,14
,2450042-Saint-Léonard-d'Aston,31,31,42,51,51,58,74,76
,2450050-Sainte-Perpétue,0,2,1,2,3,26,25,40
,2450057-Sainte-Monique,10,4,6,6,10,19,5,20
,2450072-Nicolet,6,21,15,32,43,35,91,120
,2450085-La Visitation-de-Yamaska,0,0,5,3,6,9,1,3
,2450090-Saint-Zéphirin-de-Courval,1,2,4,5,7,10,8,15
,2450100-Baie-du-Febvre,0,4,4,9,9,9,12,18
,2450113-Pierreville,42,24,58,52,87,91,132,152
,2450128-Saint-François-du-Lac,0,0,0,0,0,1,6,15
,2450802-Odanak,0,0,0,0,0,2,0,0
,2451008-Maskinongé,0,0,12,10,0,10,21,3
,2451015-Louiseville,16,32,18,54,42,67,125,82
,2451020-Yamachiche,24,50,29,69,73,41,192,80
,2451025-Saint-Barnabé,0,0,0,2,3,3,6,8
,2451030-Saint-Sévère,4,4,0,6,2,2,4,2
,2451035-Saint-Léon-le-Grand,11,16,15,47,36,67,51,63
,2451040-Sainte-Ursule,0,0,2,6,4,7,9,7
,2451045-Saint-Justin,1,0,1,2,3,2,4,5
,2451050-Saint-Édouard-de-Maskinongé,0,0,0,6,0,0,0,0
,2451055-Sainte-Angèle-de-Prémont,0,0,0,7,0,9,12,26
,2451060-Saint-Paulin,1,0,0,6,7,11,12,16
,2451065-Saint-Alexis-des-Monts,0,0,1,0,1,1,11,3
,2451070-Saint-Mathieu-du-Parc,0,0,0,2,1,3,1,12
,2451075-Saint-Élie-de-Caxton,0,0,4,3,0,4,2,2
,2451080-Charette,0,0,0,0,0,0,0,3
,2451085-Saint-Boniface,0,0,0,1,0,2,4,5
,2451090-Saint-Étienne-des-Grès,65,47,44,55,74,103,93,101
,2452007-Lavaltrie,402,312,320,456,489,375,664,507
,2452017-Lanoraie,252,162,195,228,219,214,296,301
,2452030-Sainte-Élisabeth,2,5,2,67,136,53,104,47
,2452035-Berthierville,0,0,36,46,27,45,201,158
,2452055-Saint-Barthélemy,0,0,0,1,0,1,0,3
,2452062-Saint-Cuthbert,0,1,2,8,101,16,85,99
,2452070-Saint-Norbert,0,0,0,1,0,0,8,6
,2452075-Saint-Cléophas-de-Brandon,0,0,0,52,0,0,1,0
,2452085-Saint-Gabriel-de-Brandon,71,96,123,113,154,172,214,119
,2452090-Saint-Didace,0,0,1,4,6,0,8,3
,2452095-Mandeville,0,0,0,0,0,4,2,1
,2453005-Saint-David,3,4,8,11,7,9,5,15
,2453020-Saint-Robert,18,15,45,54,49,75,68,34
,2453025-Sainte-Victoire-de-Sorel,0,1,0,14,8,3,13,12
,2453032-Saint-Ours,0,10,13,17,29,15,17,12
,2453040-Saint-Roch-de-Richelieu,1,0,0,0,0,0,0,0
,2453050-Saint-Joseph-de-Sorel,0,0,0,5,1,0,10,3
,2453052-Sorel-Tracy,1,3,7,14,12,9,77,75
,2453065-Sainte-Anne-de-Sorel,0,0,0,0,0,0,0,2
,2453072-Yamaska,1,1,11,18,35,19,29,20
,2453085-Saint-Gérard-Majella,0,0,9,0,0,0,1,0
,2454008-Saint-Pie,0,8,2,2,2,30,67,18
,2454017-Saint-Damase,82,56,105,149,178,160,355,255
,2454030-Sainte-Marie-Madeleine,118,62,122,166,158,164,277,152
,2454035-La Présentation,120,130,130,168,223,71,109,103
,2454048-Saint-Hyacinthe,149,108,106,202,227,175,571,469
,2454060-Saint-Dominique,4,2,2,5,5,2,13,16
,2454065-Saint-Valérien-de-Milton,0,1,2,10,10,5,42,36
,2454072-Saint-Liboire,0,2,7,4,21,14,21,18
,2454090-Saint-Simon,1,4,0,4,21,9,18,38
,2454095-Sainte-Hélène-de-Bagot,5,8,18,30,25,44,63,78
,2454100-Saint-Hugues,0,0,1,12,3,15,5,19
,2454105-Saint-Barnabé-Sud,0,5,8,11,26,22,41,26
,2454110-Saint-Jude,22,2,3,114,6,12,14,9
,2454115-Saint-Bernard-de-Michaudville,2,3,3,5,8,6,7,11
,2454120-Saint-Louis,26,24,36,57,42,58,59,50
,2454125-Saint-Marcel-de-Richelieu,0,0,0,0,0,4,4,2
,2455008-Ange-Gardien,57,53,15,60,205,127,188,206
,2455015-Saint-Paul-d'Abbotsford,450,457,465,"1,010",626,932,828,910
,2455023-Saint-Césaire,69,64,72,117,126,143,199,232
,2455030-Sainte-Angèle-de-Monnoir,0,0,0,0,0,4,5,3
,2455037-Rougemont,188,149,177,292,211,248,331,311
,2455048-Marieville,69,71,71,110,125,121,154,126
,2455057-Richelieu,0,0,0,8,9,10,38,49
,2455065-Saint-Mathias-sur-Richelieu,1,3,19,21,8,3,5,9
,2456005-Venise-en-Québec,0,0,5,0,1,2,2,5
,2456010-Saint-Georges-de-Clarenceville,11,9,8,14,15,24,22,25
,2456023-Lacolle,6,3,3,1,6,7,5,6
,2456030-Saint-Valentin,5,8,3,8,8,9,9,6
,2456035-Saint-Paul-de-l'Île-aux-Noix,2,2,2,8,11,7,18,12
,2456042-Henryville,4,7,7,10,15,13,16,12
,2456050-Saint-Sébastien,2,4,7,17,12,28,23,18
,2456055-Saint-Alexandre,0,0,5,8,10,21,28,23
,2456060-Sainte-Anne-de-Sabrevois,11,6,6,13,14,9,17,17
,2456065-Saint-Blaise-sur-Richelieu,11,11,19,25,14,23,23,15
,2456083-Saint-Jean-sur-Richelieu,29,37,67,198,213,114,496,348
,2456097-Mont-Saint-Grégoire,57,52,44,89,87,94,141,139
,2456105-Sainte-Brigide-d'Iberville,0,1,2,5,5,6,11,11
,2457005-Chambly,7,3,0,3,15,24,99,79
,2457010-Carignan,4,7,10,11,2,21,68,56
,2457020-Saint-Basile-le-Grand,20,23,29,32,42,15,114,89
,2457025-McMasterville,0,0,0,0,0,1,6,6
,2457030-Otterburn Park,0,0,0,0,0,0,0,2
,2457033-Saint-Jean-Baptiste,122,21,45,25,18,107,225,328
,2457035-Mont-Saint-Hilaire,10,4,97,182,166,171,178,54
,2457040-Beloeil,5,4,63,13,37,21,83,99
,2457045-Saint-Mathieu-de-Beloeil,183,135,162,275,292,80,418,233
,2457050-Saint-Marc-sur-Richelieu,0,0,0,2,0,0,1,8
,2457057-Saint-Charles-sur-Richelieu,0,4,7,11,14,12,12,9
,2457068-Saint-Denis-sur-Richelieu,50,56,63,85,77,152,72,182
,2457075-Saint-Antoine-sur-Richelieu,11,17,10,24,2,25,22,14
,2458007-Brossard,13,15,10,25,38,38,191,276
,2458012-Saint-Lambert,2,2,3,11,7,13,28,39
,2458033-Boucherville,11,17,35,58,91,67,464,459
,2458037-Saint-Bruno-de-Montarville,6,5,6,11,38,41,235,176
,2458227-Longueuil,20,21,39,84,150,113,524,665
,2459010-Sainte-Julie,26,6,20,28,51,39,155,158
,2459015-Saint-Amable,0,0,1,14,3,2,34,33
,2459020-Varennes,7,4,14,16,31,17,102,123
,2459025-Verchères,0,1,0,1,1,3,7,5
,2459030-Calixa-Lavallée,0,0,0,0,0,0,4,5
,2459035-Contrecoeur,6,1,4,2,3,7,11,7
,2460005-Charlemagne,0,0,0,0,0,0,0,2
,2460013-Repentigny,46,30,29,5,21,89,158,185
,2460020-Saint-Sulpice,0,0,4,8,10,13,17,28
,2460028-L'Assomption,96,67,73,119,97,109,259,185
,2460035-L'Épiphanie,0,0,0,0,0,0,5,1
,2460040-L'Épiphanie,0,0,0,2,2,1,9,10
,2461005-Saint-Paul,46,31,58,49,28,15,72,39
