"Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIA) by Economic Region, National Occupational Classification - 2011 (NOC) Occupational skill Type, and Province/Territory ",,,,,,,,,,
,,,,,,,,,,
Province/Territory,Economic Region ,NOC 2011 Occupational Skill Type,2016,2017,2018,2019,2020,2021,2022,2023
Quebec                   ,2433 - Centre-du-Québec,3 - Health occupations ,0,0,0,5,25,20,49,74
Quebec                   ,2433 - Centre-du-Québec,"4 - Occupations in education, law and social, community and government services ",5,2,3,4,13,5,13,22
Quebec                   ,2433 - Centre-du-Québec,"5 - Occupations in art, culture, recreation and sport ",1,0,0,2,0,1,7,2
Quebec                   ,2433 - Centre-du-Québec,6 - Sales and service occupations ,5,4,7,23,35,37,270,248
Quebec                   ,2433 - Centre-du-Québec,"7 - Trades, transport and equipment operators and related occupations ",29,57,107,275,283,241,664,633
Quebec                   ,2433 - Centre-du-Québec,"8 - Natural resources, agriculture and related production occupations ",863,785,"1,124","1,537","1,494","1,826","2,037","1,908"
Quebec                   ,2433 - Centre-du-Québec,9 - Occupations in manufacturing and utilities ,8,14,106,149,288,264,997,589
Quebec                   ,2435 - Montérégie,0 - Management occupations ,14,14,13,20,21,21,45,69
Quebec                   ,2435 - Montérégie,"1 - Business, finance and administration occupations ",7,11,11,10,22,27,162,199
Quebec                   ,2435 - Montérégie,2 - Natural and applied sciences and related occupations ,37,23,34,28,59,87,199,218
Quebec                   ,2435 - Montérégie,3 - Health occupations ,14,6,19,87,100,100,267,428
Quebec                   ,2435 - Montérégie,"4 - Occupations in education, law and social, community and government services ",17,22,17,21,43,36,109,174
Quebec                   ,2435 - Montérégie,"5 - Occupations in art, culture, recreation and sport ",8,5,5,3,8,2,5,20
Quebec                   ,2435 - Montérégie,6 - Sales and service occupations ,14,21,32,96,185,158,799,"1,314"
Quebec                   ,2435 - Montérégie,"7 - Trades, transport and equipment operators and related occupations ",25,58,202,433,525,310,"1,820","1,661"
Quebec                   ,2435 - Montérégie,"8 - Natural resources, agriculture and related production occupations ","7,687","5,721","6,191","9,798","8,199","9,192","11,586","10,055"
Quebec                   ,2435 - Montérégie,9 - Occupations in manufacturing and utilities ,252,297,356,582,"1,049",860,"2,568","1,783"
Quebec                   ,2440 - Montréal,0 - Management occupations ,83,89,97,114,134,141,260,282
Quebec                   ,2440 - Montréal,"1 - Business, finance and administration occupations ",61,70,70,88,128,118,515,857
Quebec                   ,2440 - Montréal,2 - Natural and applied sciences and related occupations ,498,506,563,987,824,"1,180","2,221","1,577"
Quebec                   ,2440 - Montréal,3 - Health occupations ,43,36,49,252,199,217,376,313
Quebec                   ,2440 - Montréal,"4 - Occupations in education, law and social, community and government services ",270,312,266,447,614,472,959,904
Quebec                   ,2440 - Montréal,"5 - Occupations in art, culture, recreation and sport ",899,548,672,788,360,284,949,796
Quebec                   ,2440 - Montréal,6 - Sales and service occupations ,132,128,77,155,231,174,"1,119","1,898"
Quebec                   ,2440 - Montréal,"7 - Trades, transport and equipment operators and related occupations ",60,67,101,221,310,195,939,"1,283"
Quebec                   ,2440 - Montréal,"8 - Natural resources, agriculture and related production occupations ",33,42,53,79,90,50,256,337
Quebec                   ,2440 - Montréal,9 - Occupations in manufacturing and utilities ,6,0,2,28,68,67,415,440
Quebec                   ,2445 - Laval,0 - Management occupations ,7,1,7,2,7,8,15,22
Quebec                   ,2445 - Laval,"1 - Business, finance and administration occupations ",4,2,2,3,6,9,58,69
Quebec                   ,2445 - Laval,2 - Natural and applied sciences and related occupations ,16,12,12,19,27,28,66,83
Quebec                   ,2445 - Laval,3 - Health occupations ,1,2,4,14,7,20,35,62
Quebec                   ,2445 - Laval,"4 - Occupations in education, law and social, community and government services ",13,8,8,15,12,26,59,76
Quebec                   ,2445 - Laval,"5 - Occupations in art, culture, recreation and sport ",1,1,0,1,1,2,7,14
Quebec                   ,2445 - Laval,6 - Sales and service occupations ,14,17,8,13,30,28,199,365
Quebec                   ,2445 - Laval,"7 - Trades, transport and equipment operators and related occupations ",9,6,8,44,81,45,234,292
Quebec                   ,2445 - Laval,"8 - Natural resources, agriculture and related production occupations ",582,558,641,451,827,467,"1,015",729
Quebec                   ,2445 - Laval,9 - Occupations in manufacturing and utilities ,0,0,1,10,18,26,232,107
Quebec                   ,2450 - Lanaudière,0 - Management occupations ,1,1,2,3,4,2,11,9
Quebec                   ,2450 - Lanaudière,"1 - Business, finance and administration occupations ",3,1,2,0,4,4,26,29
Quebec                   ,2450 - Lanaudière,2 - Natural and applied sciences and related occupations ,9,7,4,8,6,10,14,50
Quebec                   ,2450 - Lanaudière,3 - Health occupations ,0,4,2,1,9,9,36,83
Quebec                   ,2450 - Lanaudière,"4 - Occupations in education, law and social, community and government services ",1,2,1,2,4,2,16,26
Quebec                   ,2450 - Lanaudière,"5 - Occupations in art, culture, recreation and sport ",2,0,0,0,0,1,1,3
Quebec                   ,2450 - Lanaudière,6 - Sales and service occupations ,4,5,4,15,26,41,273,269
Quebec                   ,2450 - Lanaudière,"7 - Trades, transport and equipment operators and related occupations ",103,75,115,206,265,197,463,491
Quebec                   ,2450 - Lanaudière,"8 - Natural resources, agriculture and related production occupations ","2,209","1,742","1,973","2,836","2,460","2,951","3,811","3,082"
Quebec                   ,2450 - Lanaudière,9 - Occupations in manufacturing and utilities ,3,105,37,170,231,158,522,395
Quebec                   ,2455 - Laurentides,0 - Management occupations ,3,5,3,7,8,4,11,10
Quebec                   ,2455 - Laurentides,"1 - Business, finance and administration occupations ",2,1,4,5,3,6,47,76
Quebec                   ,2455 - Laurentides,2 - Natural and applied sciences and related occupations ,22,9,10,8,9,28,37,71
Quebec                   ,2455 - Laurentides,3 - Health occupations ,4,1,0,8,8,24,63,124
Quebec                   ,2455 - Laurentides,"4 - Occupations in education, law and social, community and government services ",4,3,4,2,16,11,27,24
Quebec                   ,2455 - Laurentides,"5 - Occupations in art, culture, recreation and sport ",5,3,4,2,0,3,2,4
Quebec                   ,2455 - Laurentides,6 - Sales and service occupations ,9,8,23,14,96,90,381,571
Quebec                   ,2455 - Laurentides,"7 - Trades, transport and equipment operators and related occupations ",11,14,43,114,174,77,223,232
Quebec                   ,2455 - Laurentides,"8 - Natural resources, agriculture and related production occupations ","2,002","1,345","1,802","2,537","2,377","2,853","3,423","3,443"
Quebec                   ,2455 - Laurentides,9 - Occupations in manufacturing and utilities ,0,2,2,9,61,78,285,385
Quebec                   ,2460 - Outaouais,0 - Management occupations ,0,1,1,2,1,1,6,20
Quebec                   ,2460 - Outaouais,"1 - Business, finance and administration occupations ",0,1,0,2,7,2,20,20
Quebec                   ,2460 - Outaouais,2 - Natural and applied sciences and related occupations ,5,15,14,19,13,5,15,21
Quebec                   ,2460 - Outaouais,3 - Health occupations ,23,9,5,21,38,26,84,85
Quebec                   ,2460 - Outaouais,"4 - Occupations in education, law and social, community and government services ",3,6,2,9,8,12,21,31
Quebec                   ,2460 - Outaouais,"5 - Occupations in art, culture, recreation and sport ",3,5,1,3,1,1,1,1
Quebec                   ,2460 - Outaouais,6 - Sales and service occupations ,9,8,3,13,36,30,198,199
Quebec                   ,2460 - Outaouais,"7 - Trades, transport and equipment operators and related occupations ",0,1,12,28,46,20,108,132
Quebec                   ,2460 - Outaouais,"8 - Natural resources, agriculture and related production occupations ",85,52,66,182,125,111,315,168
Quebec                   ,2460 - Outaouais,9 - Occupations in manufacturing and utilities ,0,0,0,4,2,9,65,13
Quebec                   ,2465 - Abitibi-Témiscamingue,0 - Management occupations ,2,0,1,2,2,4,17,6
Quebec                   ,2465 - Abitibi-Témiscamingue,"1 - Business, finance and administration occupations ",1,2,2,4,3,5,14,22
Quebec                   ,2465 - Abitibi-Témiscamingue,2 - Natural and applied sciences and related occupations ,1,4,3,11,5,10,30,45
Quebec                   ,2465 - Abitibi-Témiscamingue,3 - Health occupations ,12,11,3,1,1,15,33,38
Quebec                   ,2465 - Abitibi-Témiscamingue,"4 - Occupations in education, law and social, community and government services ",2,2,1,4,3,9,15,30
Quebec                   ,2465 - Abitibi-Témiscamingue,"5 - Occupations in art, culture, recreation and sport ",0,1,0,0,1,1,4,1
Quebec                   ,2465 - Abitibi-Témiscamingue,6 - Sales and service occupations ,6,16,15,40,39,59,218,300
Quebec                   ,2465 - Abitibi-Témiscamingue,"7 - Trades, transport and equipment operators and related occupations ",2,7,69,100,139,69,307,324
Quebec                   ,2465 - Abitibi-Témiscamingue,"8 - Natural resources, agriculture and related production occupations ",35,30,87,194,136,194,221,221
Quebec                   ,2465 - Abitibi-Témiscamingue,9 - Occupations in manufacturing and utilities ,0,0,1,6,4,34,82,118
Quebec                   ,2470 - Mauricie,0 - Management occupations ,1,2,3,2,1,3,6,4
Quebec                   ,2470 - Mauricie,"1 - Business, finance and administration occupations ",0,1,3,1,1,2,17,17
Quebec                   ,2470 - Mauricie,2 - Natural and applied sciences and related occupations ,0,8,15,17,19,24,52,36
Quebec                   ,2470 - Mauricie,3 - Health occupations ,2,1,0,1,23,23,37,55
Quebec                   ,2470 - Mauricie,"4 - Occupations in education, law and social, community and government services ",2,1,0,2,3,6,9,7
Quebec                   ,2470 - Mauricie,"5 - Occupations in art, culture, recreation and sport ",1,1,1,1,0,1,0,1
Quebec                   ,2470 - Mauricie,6 - Sales and service occupations ,4,0,43,31,31,55,240,252
Quebec                   ,2470 - Mauricie,"7 - Trades, transport and equipment operators and related occupations ",8,3,34,137,95,47,233,162
Quebec                   ,2470 - Mauricie,"8 - Natural resources, agriculture and related production occupations ",305,442,273,625,375,635,589,541
Quebec                   ,2470 - Mauricie,9 - Occupations in manufacturing and utilities ,26,51,35,95,120,152,575,198
Quebec                   ,2475 - Saguenay--Lac-Saint-Jean,0 - Management occupations ,1,0,2,0,1,1,8,12
Quebec                   ,2475 - Saguenay--Lac-Saint-Jean,"1 - Business, finance and administration occupations ",0,1,0,0,1,6,12,26
Quebec                   ,2475 - Saguenay--Lac-Saint-Jean,2 - Natural and applied sciences and related occupations ,2,2,22,17,25,57,70,68
Quebec                   ,2475 - Saguenay--Lac-Saint-Jean,3 - Health occupations ,1,1,2,0,16,25,53,51
Quebec                   ,2475 - Saguenay--Lac-Saint-Jean,"4 - Occupations in education, law and social, community and government services ",1,3,0,3,2,3,2,23
Quebec                   ,2475 - Saguenay--Lac-Saint-Jean,"5 - Occupations in art, culture, recreation and sport ",2,0,0,2,0,1,2,2
Quebec                   ,2475 - Saguenay--Lac-Saint-Jean,6 - Sales and service occupations ,0,4,7,20,30,81,347,318
Quebec                   ,2475 - Saguenay--Lac-Saint-Jean,"7 - Trades, transport and equipment operators and related occupations ",1,1,13,97,88,140,414,384
Quebec                   ,2475 - Saguenay--Lac-Saint-Jean,"8 - Natural resources, agriculture and related production occupations ",229,220,369,675,686,765,950,"1,141"
Quebec                   ,2475 - Saguenay--Lac-Saint-Jean,9 - Occupations in manufacturing and utilities ,15,23,38,85,143,169,373,369
Quebec                   ,2480 - Côte-Nord,0 - Management occupations ,0,1,0,1,0,2,2,9
Quebec                   ,2480 - Côte-Nord,"1 - Business, finance and administration occupations ",0,0,0,1,0,1,11,12
Quebec                   ,2480 - Côte-Nord,2 - Natural and applied sciences and related occupations ,2,0,18,5,2,1,10,6
Quebec                   ,2480 - Côte-Nord,3 - Health occupations ,1,0,0,8,18,8,65,31
Quebec                   ,2480 - Côte-Nord,"4 - Occupations in education, law and social, community and government services ",0,0,0,0,4,4,5,1
Quebec                   ,2480 - Côte-Nord,"5 - Occupations in art, culture, recreation and sport ",0,2,1,1,0,1,0,1
Quebec                   ,2480 - Côte-Nord,6 - Sales and service occupations ,4,9,13,17,40,36,173,194
Quebec                   ,2480 - Côte-Nord,"7 - Trades, transport and equipment operators and related occupations ",4,6,20,16,52,49,100,200
Quebec                   ,2480 - Côte-Nord,"8 - Natural resources, agriculture and related production occupations ",2,9,8,23,9,27,64,50
Quebec                   ,2480 - Côte-Nord,9 - Occupations in manufacturing and utilities ,5,7,10,24,48,87,268,121
Quebec                   ,2490 - Nord-du-Québec,0 - Management occupations ,0,0,0,0,0,1,0,3
Quebec                   ,2490 - Nord-du-Québec,"1 - Business, finance and administration occupations ",0,0,0,0,2,0,1,6
Quebec                   ,2490 - Nord-du-Québec,2 - Natural and applied sciences and related occupations ,0,0,0,9,2,2,9,10
Quebec                   ,2490 - Nord-du-Québec,3 - Health occupations ,0,1,0,1,1,0,4,6
Quebec                   ,2490 - Nord-du-Québec,"4 - Occupations in education, law and social, community and government services ",1,1,2,0,0,1,1,2
Quebec,2490 - Nord-du-Québec,"5 - Occupations in art, culture, recreation and sport ",0,0,0,0,0,0,0,0
Quebec                   ,2490 - Nord-du-Québec,6 - Sales and service occupations ,2,1,0,3,9,18,81,50
Quebec                   ,2490 - Nord-du-Québec,"7 - Trades, transport and equipment operators and related occupations ",0,0,0,20,6,9,63,45
Quebec                   ,2490 - Nord-du-Québec,"8 - Natural resources, agriculture and related production occupations ",56,0,0,13,10,33,20,17
Quebec                   ,2490 - Nord-du-Québec,9 - Occupations in manufacturing and utilities ,0,0,15,17,73,12,48,100
Quebec                   ,9-Unspecified,0 - Management occupations ,0,0,1,0,0,0,0,0
Quebec                   ,9-Unspecified,"1 - Business, finance and administration occupations ",1,0,0,0,0,0,3,7
Quebec                   ,9-Unspecified,2 - Natural and applied sciences and related occupations ,57,113,72,83,22,36,17,88
Quebec                   ,9-Unspecified,3 - Health occupations ,0,0,0,0,4,3,5,5
Quebec                   ,9-Unspecified,"4 - Occupations in education, law and social, community and government services ",1,2,1,0,2,0,2,3
Quebec                   ,9-Unspecified,"5 - Occupations in art, culture, recreation and sport ",29,2,1,2,1,0,4,2
Quebec                   ,9-Unspecified,6 - Sales and service occupations ,14,23,14,17,6,23,37,38
Quebec                   ,9-Unspecified,"7 - Trades, transport and equipment operators and related occupations ",79,121,114,86,121,132,123,188
Quebec                   ,9-Unspecified,"8 - Natural resources, agriculture and related production occupations ",46,39,112,228,191,300,327,292
Quebec                   ,9-Unspecified,9 - Occupations in manufacturing and utilities ,1,9,2,26,58,48,211,225
Quebec                   ,Total,,"20,311","17,616","21,257","33,590","32,956","35,699","66,792","62,201"
Ontario                  ,3510 - Ottawa,0 - Management occupations ,19,37,20,53,53,45,68,133
Ontario                  ,3510 - Ottawa,"1 - Business, finance and administration occupations ",11,8,5,4,14,15,40,84
Ontario                  ,3510 - Ottawa,2 - Natural and applied sciences and related occupations ,83,47,102,153,104,190,305,206
Ontario                  ,3510 - Ottawa,3 - Health occupations ,20,16,11,10,13,32,120,169
Ontario                  ,3510 - Ottawa,"4 - Occupations in education, law and social, community and government services ",124,102,117,79,56,71,77,95
Ontario                  ,3510 - Ottawa,"5 - Occupations in art, culture, recreation and sport ",65,34,39,30,10,10,23,16
Ontario                  ,3510 - Ottawa,6 - Sales and service occupations ,59,57,73,98,134,145,534,"1,098"
Ontario                  ,3510 - Ottawa,"7 - Trades, transport and equipment operators and related occupations ",15,13,10,30,85,68,323,285
Ontario                  ,3510 - Ottawa,"8 - Natural resources, agriculture and related production occupations ",326,401,454,400,432,592,619,681
Ontario                  ,3510 - Ottawa,9 - Occupations in manufacturing and utilities ,0,0,1,2,61,27,240,215
Ontario                  ,3515 - Kingston--Pembroke,0 - Management occupations ,9,9,9,12,21,9,27,34
Ontario                  ,3515 - Kingston--Pembroke,"1 - Business, finance and administration occupations ",0,2,1,18,7,14,33,25
Ontario                  ,3515 - Kingston--Pembroke,2 - Natural and applied sciences and related occupations ,18,33,27,14,11,16,18,11
Ontario                  ,3515 - Kingston--Pembroke,3 - Health occupations ,12,2,2,2,2,2,36,84
Ontario                  ,3515 - Kingston--Pembroke,"4 - Occupations in education, law and social, community and government services ",27,13,42,33,20,21,21,50
Ontario                  ,3515 - Kingston--Pembroke,"5 - Occupations in art, culture, recreation and sport ",4,2,3,1,0,0,0,2
Ontario                  ,3515 - Kingston--Pembroke,6 - Sales and service occupations ,10,8,23,48,74,58,200,459
Ontario                  ,3515 - Kingston--Pembroke,"7 - Trades, transport and equipment operators and related occupations ",1,4,10,2,18,24,44,83
Ontario                  ,3515 - Kingston--Pembroke,"8 - Natural resources, agriculture and related production occupations ",239,337,425,325,423,336,427,456
Ontario                  ,3515 - Kingston--Pembroke,9 - Occupations in manufacturing and utilities ,1,0,1,1,10,31,31,94
Ontario                  ,3520 - Muskoka--Kawarthas,0 - Management occupations ,3,4,6,7,11,7,9,31
Ontario                  ,3520 - Muskoka--Kawarthas,"1 - Business, finance and administration occupations ",4,1,2,3,6,2,12,24
Ontario                  ,3520 - Muskoka--Kawarthas,2 - Natural and applied sciences and related occupations ,12,2,5,5,1,2,7,5
Ontario                  ,3520 - Muskoka--Kawarthas,3 - Health occupations ,2,1,0,5,5,12,7,37
Ontario                  ,3520 - Muskoka--Kawarthas,"4 - Occupations in education, law and social, community and government services ",6,16,13,5,5,9,8,9
Ontario                  ,3520 - Muskoka--Kawarthas,"5 - Occupations in art, culture, recreation and sport ",0,0,2,0,1,0,2,0
Ontario                  ,3520 - Muskoka--Kawarthas,6 - Sales and service occupations ,18,33,92,72,99,84,282,311
Ontario                  ,3520 - Muskoka--Kawarthas,"7 - Trades, transport and equipment operators and related occupations ",4,30,9,9,10,16,91,101
Ontario                  ,3520 - Muskoka--Kawarthas,"8 - Natural resources, agriculture and related production occupations ",233,271,446,349,440,377,478,472
Ontario                  ,3520 - Muskoka--Kawarthas,9 - Occupations in manufacturing and utilities ,0,0,2,1,1,0,34,25
Ontario                  ,3530 - Toronto,0 - Management occupations ,441,422,469,599,768,785,"1,212","1,479"
Ontario                  ,3530 - Toronto,"1 - Business, finance and administration occupations ",338,443,415,747,"1,142",731,"1,679","3,321"
Ontario                  ,3530 - Toronto,2 - Natural and applied sciences and related occupations ,549,709,785,"1,163","1,133","1,448","2,664","2,166"
Ontario                  ,3530 - Toronto,3 - Health occupations ,60,59,67,78,90,122,203,372
Ontario                  ,3530 - Toronto,"4 - Occupations in education, law and social, community and government services ","2,768","3,032","3,567","2,784","1,561","2,108","1,643","1,902"
Ontario                  ,3530 - Toronto,"5 - Occupations in art, culture, recreation and sport ",851,608,481,506,243,229,488,400
Ontario                  ,3530 - Toronto,6 - Sales and service occupations ,621,869,"1,054","1,613","2,126","1,835","4,074","6,291"
Ontario                  ,3530 - Toronto,"7 - Trades, transport and equipment operators and related occupations ",571,746,797,"1,384","2,018","1,830","4,268","5,022"
Ontario                  ,3530 - Toronto,"8 - Natural resources, agriculture and related production occupations ","1,513","2,308","2,001","2,363","2,051","2,712","2,986","2,887"
Ontario                  ,3530 - Toronto,9 - Occupations in manufacturing and utilities ,22,57,36,65,80,125,433,509
Ontario                  ,3540 - Kitchener--Waterloo--Barrie,0 - Management occupations ,30,39,34,31,46,52,80,165
Ontario                  ,3540 - Kitchener--Waterloo--Barrie,"1 - Business, finance and administration occupations ",11,10,12,19,33,26,63,206
Ontario                  ,3540 - Kitchener--Waterloo--Barrie,2 - Natural and applied sciences and related occupations ,80,108,111,145,112,135,255,151
Ontario                  ,3540 - Kitchener--Waterloo--Barrie,3 - Health occupations ,6,4,6,6,14,34,84,171
Ontario                  ,3540 - Kitchener--Waterloo--Barrie,"4 - Occupations in education, law and social, community and government services ",133,122,169,133,74,87,128,98
Ontario                  ,3540 - Kitchener--Waterloo--Barrie,"5 - Occupations in art, culture, recreation and sport ",7,15,13,7,0,9,9,8
Ontario                  ,3540 - Kitchener--Waterloo--Barrie,6 - Sales and service occupations ,80,201,188,264,360,477,"1,184","1,238"
Ontario                  ,3540 - Kitchener--Waterloo--Barrie,"7 - Trades, transport and equipment operators and related occupations ",72,64,137,189,135,469,507,698
Ontario                  ,3540 - Kitchener--Waterloo--Barrie,"8 - Natural resources, agriculture and related production occupations ",915,"1,306","1,180","1,089","1,129","1,308","1,289","1,779"
Ontario                  ,3540 - Kitchener--Waterloo--Barrie,9 - Occupations in manufacturing and utilities ,4,40,136,65,99,130,398,185
Ontario                  ,3550 - Hamilton--Niagara Peninsula,0 - Management occupations ,47,30,33,44,59,51,81,199
Ontario                  ,3550 - Hamilton--Niagara Peninsula,"1 - Business, finance and administration occupations ",9,12,13,40,43,31,79,190
Ontario                  ,3550 - Hamilton--Niagara Peninsula,2 - Natural and applied sciences and related occupations ,72,46,57,51,37,38,75,125
Ontario                  ,3550 - Hamilton--Niagara Peninsula,3 - Health occupations ,1,7,4,10,23,28,64,83
Ontario                  ,3550 - Hamilton--Niagara Peninsula,"4 - Occupations in education, law and social, community and government services ",165,169,212,154,80,135,94,195
Ontario                  ,3550 - Hamilton--Niagara Peninsula,"5 - Occupations in art, culture, recreation and sport ",27,9,30,15,4,6,12,6
Ontario                  ,3550 - Hamilton--Niagara Peninsula,6 - Sales and service occupations ,45,84,69,209,252,274,910,"1,375"
Ontario                  ,3550 - Hamilton--Niagara Peninsula,"7 - Trades, transport and equipment operators and related occupations ",55,50,40,108,98,94,344,555
Ontario                  ,3550 - Hamilton--Niagara Peninsula,"8 - Natural resources, agriculture and related production occupations ","7,880","12,372","11,474","10,957","10,233","11,373","12,545","15,142"
Ontario                  ,3550 - Hamilton--Niagara Peninsula,9 - Occupations in manufacturing and utilities ,2,5,7,11,13,15,116,216
Ontario                  ,3560 - London,0 - Management occupations ,11,14,11,13,13,13,20,62
Ontario                  ,3560 - London,"1 - Business, finance and administration occupations ",1,6,1,6,11,12,39,78
Ontario                  ,3560 - London,2 - Natural and applied sciences and related occupations ,45,39,24,30,23,29,26,39
Ontario                  ,3560 - London,3 - Health occupations ,12,14,13,3,14,14,25,56
Ontario                  ,3560 - London,"4 - Occupations in education, law and social, community and government services ",57,54,60,58,35,39,42,46
Ontario                  ,3560 - London,"5 - Occupations in art, culture, recreation and sport ",4,13,6,4,7,7,6,8
Ontario                  ,3560 - London,6 - Sales and service occupations ,19,19,28,39,70,75,202,576
Ontario                  ,3560 - London,"7 - Trades, transport and equipment operators and related occupations ",8,14,23,42,36,43,158,216
Ontario                  ,3560 - London,"8 - Natural resources, agriculture and related production occupations ","1,770","2,487","2,499","2,663","2,711","2,506","3,254","2,835"
Ontario                  ,3560 - London,9 - Occupations in manufacturing and utilities ,0,2,89,196,122,142,179,204
Ontario                  ,3570 - Windsor--Sarnia,0 - Management occupations ,11,13,8,19,11,14,31,46
Ontario                  ,3570 - Windsor--Sarnia,"1 - Business, finance and administration occupations ",0,3,1,4,3,15,21,50
Ontario                  ,3570 - Windsor--Sarnia,2 - Natural and applied sciences and related occupations ,57,47,37,36,18,27,32,43
Ontario                  ,3570 - Windsor--Sarnia,3 - Health occupations ,7,8,4,3,6,7,22,37
Ontario                  ,3570 - Windsor--Sarnia,"4 - Occupations in education, law and social, community and government services ",17,23,27,22,13,18,13,22
Ontario                  ,3570 - Windsor--Sarnia,"5 - Occupations in art, culture, recreation and sport ",3,1,2,0,0,0,2,2
Ontario                  ,3570 - Windsor--Sarnia,6 - Sales and service occupations ,4,29,9,33,44,57,140,313
Ontario                  ,3570 - Windsor--Sarnia,"7 - Trades, transport and equipment operators and related occupations ",32,41,27,47,26,33,107,204
Ontario                  ,3570 - Windsor--Sarnia,"8 - Natural resources, agriculture and related production occupations ","8,281","8,832","9,170","8,986","9,483","10,674","10,980","12,020"
Ontario                  ,3570 - Windsor--Sarnia,9 - Occupations in manufacturing and utilities ,0,0,601,438,444,454,501,555
Ontario                  ,3580 - Stratford--Bruce Peninsula,0 - Management occupations ,4,6,7,3,9,4,14,31
Ontario                  ,3580 - Stratford--Bruce Peninsula,"1 - Business, finance and administration occupations ",3,0,0,2,1,0,8,22
Ontario                  ,3580 - Stratford--Bruce Peninsula,2 - Natural and applied sciences and related occupations ,13,42,138,11,9,5,6,9
Ontario                  ,3580 - Stratford--Bruce Peninsula,3 - Health occupations ,4,5,3,3,2,0,95,61
Ontario                  ,3580 - Stratford--Bruce Peninsula,"4 - Occupations in education, law and social, community and government services ",10,13,16,19,4,11,9,8
Ontario                  ,3580 - Stratford--Bruce Peninsula,"5 - Occupations in art, culture, recreation and sport ",8,1,0,0,0,0,0,0
Ontario                  ,3580 - Stratford--Bruce Peninsula,6 - Sales and service occupations ,7,12,13,97,80,124,402,479
Ontario                  ,3580 - Stratford--Bruce Peninsula,"7 - Trades, transport and equipment operators and related occupations ",4,12,14,50,28,41,141,97
Ontario                  ,3580 - Stratford--Bruce Peninsula,"8 - Natural resources, agriculture and related production occupations ",942,"1,393","1,548","1,267","1,400","1,329","1,873","2,120"
Ontario                  ,3580 - Stratford--Bruce Peninsula,9 - Occupations in manufacturing and utilities ,1,4,16,30,33,40,152,82
Ontario                  ,3590 - Northeast,0 - Management occupations ,13,9,10,9,14,14,24,46
Ontario                  ,3590 - Northeast,"1 - Business, finance and administration occupations ",4,0,6,5,4,8,22,31
Ontario                  ,3590 - Northeast,2 - Natural and applied sciences and related occupations ,24,13,15,22,10,5,9,53
Ontario                  ,3590 - Northeast,3 - Health occupations ,4,5,3,10,10,19,41,47
Ontario                  ,3590 - Northeast,"4 - Occupations in education, law and social, community and government services ",10,11,19,10,4,4,7,9
Ontario                  ,3590 - Northeast,"5 - Occupations in art, culture, recreation and sport ",6,5,3,1,1,1,1,5
Ontario                  ,3590 - Northeast,6 - Sales and service occupations ,31,23,42,74,108,73,308,372
Ontario                  ,3590 - Northeast,"7 - Trades, transport and equipment operators and related occupations ",6,9,19,60,48,74,197,266
Ontario                  ,3590 - Northeast,"8 - Natural resources, agriculture and related production occupations ",138,226,214,190,187,140,225,294
Ontario                  ,3590 - Northeast,9 - Occupations in manufacturing and utilities ,0,0,2,3,18,7,74,61
Ontario                  ,3595 - Northwest,0 - Management occupations ,5,0,7,4,9,7,8,12
Ontario                  ,3595 - Northwest,"1 - Business, finance and administration occupations ",0,0,0,0,2,2,6,13
Ontario                  ,3595 - Northwest,2 - Natural and applied sciences and related occupations ,4,2,26,17,1,1,3,19
Ontario                  ,3595 - Northwest,3 - Health occupations ,5,2,5,3,14,2,70,18
Ontario                  ,3595 - Northwest,"4 - Occupations in education, law and social, community and government services ",7,9,14,10,3,9,2,4
Ontario                  ,3595 - Northwest,"5 - Occupations in art, culture, recreation and sport ",1,2,0,0,0,0,2,0
Ontario                  ,3595 - Northwest,6 - Sales and service occupations ,7,25,28,39,60,82,210,361
Ontario                  ,3595 - Northwest,"7 - Trades, transport and equipment operators and related occupations ",1,3,7,3,19,7,56,75
Ontario                  ,3595 - Northwest,"8 - Natural resources, agriculture and related production occupations ",1,1,22,9,9,10,44,73
Ontario                  ,3595 - Northwest,9 - Occupations in manufacturing and utilities ,0,0,3,1,0,10,14,22
Ontario                  ,9-Unspecified,0 - Management occupations ,7,8,1,2,6,9,4,8
Ontario                  ,9-Unspecified,"1 - Business, finance and administration occupations ",1,1,1,0,0,2,1,1
Ontario                  ,9-Unspecified,2 - Natural and applied sciences and related occupations ,21,20,37,6,11,5,6,31
Ontario                  ,9-Unspecified,3 - Health occupations ,0,0,0,0,0,0,1,1
Ontario                  ,9-Unspecified,"4 - Occupations in education, law and social, community and government services ",5,3,2,2,1,0,2,2
Ontario                  ,9-Unspecified,"5 - Occupations in art, culture, recreation and sport ",7,17,2,1,0,12,5,1
Ontario                  ,9-Unspecified,6 - Sales and service occupations ,6,8,40,34,34,2,16,18
Ontario                  ,9-Unspecified,"7 - Trades, transport and equipment operators and related occupations ",56,108,91,52,17,26,31,15
Ontario                  ,9-Unspecified,"8 - Natural resources, agriculture and related production occupations ",21,28,344,114,60,20,39,12
Ontario                  ,9-Unspecified,9 - Occupations in manufacturing and utilities ,0,0,0,1,1,0,7,1
Ontario                  ,Total,,"30,426","39,114","40,907","41,426","41,490","45,196","62,018","74,621"
Manitoba                 ,4610 - Southeast,0 - Management occupations ,1,1,1,2,3,2,3,6
