"Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIA) by Economic Region, Program Stream and Province/Territory",,,,,,,,,
Newfoundland and Labrador,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
4870 - Athabasca--Grande Prairie--Peace River,Global Talent Stream   ,0,0,0,1,0,0,1,1
4870 - Athabasca--Grande Prairie--Peace River,Permanent Resident Only,40,16,3,0,3,1,9,10
4880 - Wood Buffalo--Cold Lake,High-wage              ,111,79,106,85,59,48,161,99
4880 - Wood Buffalo--Cold Lake,Low-wage               ,314,412,281,330,202,245,585,579
4880 - Wood Buffalo--Cold Lake,Primary Agriculture    ,94,110,111,119,151,110,109,212
4880 - Wood Buffalo--Cold Lake,Global Talent Stream   ,0,0,7,0,0,0,0,2
4880 - Wood Buffalo--Cold Lake,Permanent Resident Only,12,9,9,2,2,4,1,8
9-Unspecified,High-wage              ,100,99,121,78,14,13,28,303
9-Unspecified,Low-wage               ,21,24,32,16,10,4,30,30
9-Unspecified,Primary Agriculture    ,38,117,49,23,28,20,42,137
9-Unspecified,Global Talent Stream   ,0,0,0,0,0,0,1,0
9-Unspecified,Permanent Resident Only,9,4,0,0,0,1,0,0
Alberta Total,,"10,232","9,579","9,024","12,940","8,118","9,112","23,450","27,507"
British Columbia         ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
5910 - Vancouver Island and Coast,High-wage              ,"1,049",206,100,218,167,195,478,453
5910 - Vancouver Island and Coast,Low-wage               ,237,472,509,773,785,"1,069","2,408","2,112"
5910 - Vancouver Island and Coast,Primary Agriculture    ,169,197,261,278,287,281,355,477
5910 - Vancouver Island and Coast,Global Talent Stream   ,0,7,26,23,18,17,27,10
5910 - Vancouver Island and Coast,Permanent Resident Only,36,10,20,10,21,11,13,69
5920 - Lower Mainland--Southwest,High-wage              ,"4,643","5,235","4,100","8,501","6,266","6,326","10,932","10,026"
5920 - Lower Mainland--Southwest,Low-wage               ,"2,470","3,851","4,821","6,390","5,156","5,422","9,764","9,496"
5920 - Lower Mainland--Southwest,Primary Agriculture    ,"5,465","6,463","9,777","6,957","8,674","7,637","9,208","14,151"
5920 - Lower Mainland--Southwest,Global Talent Stream   ,0,362,777,783,607,"1,039","1,512",561
5920 - Lower Mainland--Southwest,Permanent Resident Only,732,242,226,259,475,298,244,949
5930 - Thompson--Okanagan,High-wage              ,107,134,154,211,155,242,644,534
5930 - Thompson--Okanagan,Low-wage               ,218,386,449,615,590,796,"2,371","1,896"
5930 - Thompson--Okanagan,Primary Agriculture    ,"3,890","3,886","6,210","5,460","6,178","5,816","6,452","9,206"
5930 - Thompson--Okanagan,Global Talent Stream   ,0,4,3,6,6,7,7,4
5930 - Thompson--Okanagan,Permanent Resident Only,28,10,14,7,20,21,13,54
5940 - Kootenay,High-wage              ,32,21,21,48,56,52,101,114
5940 - Kootenay,Low-wage               ,63,85,71,162,126,113,408,372
5940 - Kootenay,Primary Agriculture    ,128,135,364,234,415,312,652,"1,165"
5940 - Kootenay,Global Talent Stream   ,0,0,0,0,0,0,0,1
5940 - Kootenay,Permanent Resident Only,1,1,3,2,2,2,1,8
5950 - Cariboo,High-wage              ,66,30,27,69,54,59,93,109
5950 - Cariboo,Low-wage               ,65,72,78,108,85,99,284,322
5950 - Cariboo,Primary Agriculture    ,13,48,151,267,185,85,136,137
5950 - Cariboo,Global Talent Stream   ,0,0,3,1,1,1,2,0
5950 - Cariboo,Permanent Resident Only,12,1,6,1,1,1,3,16
5960 - North Coast,High-wage              ,20,12,34,72,38,40,161,51
5960 - North Coast,Low-wage               ,36,27,49,90,76,111,191,240
5960 - North Coast,Primary Agriculture    ,0,1,0,1,4,3,2,15
5960 - North Coast,Global Talent Stream   ,0,0,1,1,0,0,1,0
5960 - North Coast,Permanent Resident Only,5,0,2,0,1,1,2,3
5970 - Nechako,High-wage              ,11,9,3,15,11,37,82,37
5970 - Nechako,Low-wage               ,15,16,30,45,58,75,140,127
5970 - Nechako,Primary Agriculture    ,0,3,1,51,4,13,22,15
5970 - Nechako,Permanent Resident Only,2,0,2,0,0,3,0,3
5980 - Northeast,High-wage              ,23,41,51,101,28,35,195,92
5980 - Northeast,Low-wage               ,46,67,81,151,79,132,236,262
5980 - Northeast,Primary Agriculture    ,0,1,2,1,2,55,7,77
5980 - Northeast,Permanent Resident Only,9,4,2,2,1,5,3,4
9-Unspecified,High-wage              ,267,323,228,237,173,70,127,59
9-Unspecified,Low-wage               ,109,9,53,128,47,18,27,29
9-Unspecified,Primary Agriculture    ,9,66,24,2,4,17,94,36
9-Unspecified,Global Talent Stream   ,0,1,2,0,0,4,4,2
9-Unspecified,Permanent Resident Only,25,3,3,4,5,0,2,1
British Columbia Total,,"20,001","22,441","28,739","32,284","30,861","30,520","47,404","53,295"
Yukon                    ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
6010 - Yukon,High-wage              ,81,102,98,111,34,118,124,114
6010 - Yukon,Low-wage               ,26,16,9,28,5,8,33,22
6010 - Yukon,Global Talent Stream   ,0,0,0,0,1,0,0,0
6010 - Yukon,Permanent Resident Only,0,1,0,0,0,0,0,0
Yukon Total,,107,119,107,139,40,126,157,136
Northwest Territories    ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
6110 - Northwest Territories,High-wage              ,25,23,2,9,2,0,15,20
6110 - Northwest Territories,Low-wage               ,39,23,19,46,26,29,115,102
6110 - Northwest Territories,Primary Agriculture    ,0,0,0,1,1,1,1,0
6110 - Northwest Territories,Global Talent Stream   ,0,0,0,0,0,0,1,2
Northwest Territories Total,,64,46,21,56,29,30,132,124
Nunavut                  ,,,,,,,,,
Economic Region ,Program Stream,2016,2017,2018,2019,2020,2021,2022,2023
6210 - Nunavut,High-wage              ,57,34,49,29,28,30,24,45
6210 - Nunavut,Low-wage               ,88,6,83,104,18,33,64,76
6210 - Nunavut,Global Talent Stream   ,0,0,0,0,0,0,0,1
6210 - Nunavut,Permanent Resident Only,0,1,0,0,0,0,0,0
Nunavut Total,,145,41,132,133,46,63,88,122
Notes:,,,,,,,,,
1. The source for all information in this report is Employment and Social Development Canada's (ESDC) LMIA System.,,,,,,,,,
" 2. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.
",,,,,,,,,
"3. An economic region is defined by Statistics Canada as a grouping of complete Census Divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. There are 76 economic regions across Canada. In Ontario, there is one exception where the employers’ boundary does not respect census division boundaries: The census division of Halton is split between the employers of Hamilton–Niagara Peninsula and the employers of Toronto.",,,,,,,,,
"4. ""Other"" indicates that the location of employment includes more than one distinct economic region within the same province.",,,,,,,,,
"5. Each LMIA application submitted is restricted to a single occupation, as defined by the NOC; however, it may be for any number of positions (for example, five welders).
",,,,,,,,,
"6. The LMIA System tracks TFW positions only, not TFWs who are issued a work permit or who enter Canada. Not all positions approved result in a work permit or a TFW entering Canada. For information on the number of work permits issued, please consult Immigration Refugees and Citizenship Canada's (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp ",,,,,,,,,
7. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,,,,,,,,,
