Province/Territory,2016,2017,2018,2019,2020,2021,2022,2023,CSD_Code,CSD_Name
Quebec,0,0,0,0,0,0,0,6,2409048,Métis-sur-Mer
Quebec,0,2,2,3,2,3,4,0,2409055,Saint-Octave-de-Métis
Quebec,0,0,0,0,0,10,0,3,2409065,Price
Quebec,0,0,0,15,15,15,16,11,2409070,Saint-Joseph-de-Lepage
Quebec,0,0,1,1,1,0,5,0,2409077,Mont-Joli
Quebec,0,0,0,0,2,2,6,1,2409085,Sainte-Flavie
Quebec,2,4,4,13,4,16,25,8,2409092,Sainte-Luce
Quebec,0,0,0,4,1,5,1,0,2410010,La Trinité-des-Monts
Quebec,0,0,0,1,0,2,7,10,2410015,Saint-Narcisse-de-Rimouski
Quebec,0,0,0,0,0,0,0,4,2410025,Saint-Marcellin
Quebec,0,0,0,0,0,2,2,14,2410030,Saint-Anaclet-de-Lessard
Quebec,2,2,13,22,39,40,114,193,2410043,Rimouski
Quebec,0,0,1,2,4,5,5,4,2410060,Saint-Valérien
Quebec,0,0,0,0,0,0,6,13,2410070,Saint-Fabien
Quebec,0,4,0,9,6,38,6,0,2411005,Saint-Clément
Quebec,0,0,3,8,8,8,11,10,2411010,Saint-Jean-de-Dieu
Quebec,0,0,0,0,0,0,1,2,2411025,Saint-Médard
Quebec,0,0,0,2,2,3,4,5,2411030,Sainte-Françoise
Quebec,34,44,32,31,3,2,10,13,2411035,Saint-Éloi
Quebec,0,0,0,3,1,2,14,23,2411040,Trois-Pistoles
Quebec,0,0,0,0,0,0,3,1,2411050,Saint-Mathieu-de-Rioux
Quebec,0,0,1,1,2,1,2,3,2411055,Saint-Simon
Quebec,0,0,0,0,1,0,2,1,2412005,Saint-Cyprien
Quebec,0,0,0,0,1,0,2,1,2412010,Saint-Hubert-de-Rivière-du-Loup
Quebec,0,0,0,1,0,1,11,45,2412015,Saint-Antonin
Quebec,0,1,3,1,3,1,4,6,2412020,Saint-Modeste
Quebec,0,0,0,0,0,0,2,0,2412025,Saint-François-Xavier-de-Viger
Quebec,2,0,2,5,3,1,4,4,2412030,Saint-Épiphane
Quebec,0,0,6,9,14,4,16,29,2412043,L'Isle-Verte
Quebec,6,4,6,12,10,8,16,19,2412045,Notre-Dame-des-Sept-Douleurs
Quebec,2,0,1,4,1,3,15,12,2412057,Cacouna
Quebec,26,28,28,31,34,41,67,47,2412065,Saint-Arsène
Quebec,10,35,56,93,77,104,302,287,2412072,Rivière-du-Loup
Quebec,0,0,1,0,0,0,0,0,2412080,Notre-Dame-du-Portage
Quebec,0,0,0,4,1,3,14,7,2413005,Dégelis
Quebec,0,0,0,0,0,5,5,12,2413020,Saint-Marc-du-Lac-Long
Quebec,0,0,1,0,0,0,0,0,2413025,Rivière-Bleue
Quebec,0,0,0,0,0,0,0,15,2413030,Saint-Eusèbe
Quebec,0,0,0,0,0,0,5,2,2413040,Saint-Juste-du-Lac
Quebec,0,0,0,0,0,1,6,8,2413045,Auclair
Quebec,0,0,0,3,4,1,12,16,2413050,Lejeune
Quebec,0,0,0,0,7,0,0,0,2413055,Biencourt
Quebec,0,0,0,0,0,7,14,5,2413060,Lac-des-Aigles
Quebec,0,0,0,0,1,12,8,26,2413073,Témiscouata-sur-le-Lac
Quebec,0,2,0,7,6,10,11,10,2413075,Saint-Pierre-de-Lamy
Quebec,0,0,0,0,0,0,0,3,2413080,Saint-Louis-du-Ha! Ha!
Quebec,0,0,2,2,3,7,4,7,2413095,Pohénégamook
Quebec,0,0,0,0,0,0,4,4,2413100,Saint-Athanase
Quebec,0,0,2,0,1,4,9,5,2414005,Mont-Carmel
Quebec,0,1,10,17,13,11,19,35,2414018,Saint-Pascal
Quebec,0,0,1,8,2,6,9,7,2414025,Sainte-Hélène-de-Kamouraska
Quebec,0,0,5,10,5,12,10,8,2414030,Saint-Joseph-de-Kamouraska
Quebec,51,49,32,66,90,53,144,145,2414035,Saint-Alexandre-de-Kamouraska
Quebec,0,1,0,1,2,3,5,10,2414040,Saint-André
Quebec,0,0,0,0,0,0,1,1,2414045,Saint-Germain
Quebec,3,1,0,7,8,8,18,15,2414050,Kamouraska
Quebec,0,0,2,5,8,10,8,8,2414055,Saint-Denis-De La Bouteillerie
Quebec,0,0,0,1,1,8,8,11,2414060,Saint-Philippe-de-Néri
Quebec,3,4,10,43,22,38,49,67,2414065,Rivière-Ouelle
Quebec,0,0,0,0,1,2,1,1,2414075,Saint-Gabriel-Lalemant
Quebec,0,4,8,14,11,9,26,34,2414090,Sainte-Anne-de-la-Pocatière
Quebec,0,0,2,4,9,9,11,2,2415005,Saint-Irénée
Quebec,15,31,50,79,50,14,94,53,2415013,La Malbaie
Quebec,0,0,0,0,0,0,0,1,2415025,Notre-Dame-des-Monts
Quebec,0,0,2,0,0,0,10,11,2415030,Saint-Aimé-des-Lacs
Quebec,0,0,3,3,5,1,3,4,2415035,Clermont
Quebec,0,0,0,0,0,0,3,4,2415058,Saint-Siméon
Quebec,0,1,0,0,0,0,0,0,2415065,Baie-Sainte-Catherine
Quebec,0,0,0,0,0,1,16,4,2416005,Petite-Rivière-Saint-François
Quebec,4,13,12,22,56,33,98,83,2416013,Baie-Saint-Paul
Quebec,0,0,0,2,11,3,11,8,2416023,L'Isle-aux-Coudres
Quebec,33,19,34,63,15,26,30,26,2416048,Les Éboulements
Quebec,0,0,0,5,5,8,7,12,2416050,Saint-Hilarion
Quebec,8,7,14,18,17,10,39,19,2416055,Saint-Urbain
Quebec,0,0,0,0,0,0,0,6,2417005,Saint-Omer
Quebec,0,0,0,5,10,12,64,42,2417010,Saint-Pamphile
Quebec,0,0,0,3,0,0,0,0,2417015,Saint-Adalbert
Quebec,0,0,0,2,0,0,0,0,2417025,Sainte-Félicité
Quebec,0,2,2,7,4,3,0,7,2417040,Saint-Damase-de-L'Islet
Quebec,0,1,0,0,0,0,5,5,2417055,Saint-Aubert
Quebec,0,0,0,3,8,0,8,8,2417060,Sainte-Louise
Quebec,0,0,6,16,18,21,19,19,2417065,Saint-Roch-des-Aulnaies
Quebec,5,2,6,15,26,11,86,41,2417070,Saint-Jean-Port-Joli
Quebec,27,22,53,44,69,64,116,102,2417078,L'Islet
Quebec,0,0,4,7,5,6,21,18,2418005,Saint-Just-de-Bretenières
Quebec,0,0,0,0,0,0,0,1,2418030,Saint-Paul-de-Montminy
Quebec,0,0,0,4,4,0,0,0,2418035,Sainte-Euphémie-sur-Rivière-du-Sud
Quebec,0,0,0,2,0,0,0,0,2418040,Notre-Dame-du-Rosaire
Quebec,1,7,14,23,36,29,66,50,2418045,Cap-Saint-Ignace
Quebec,3,0,4,30,30,15,81,98,2418050,Montmagny
Quebec,0,0,3,2,2,4,8,7,2418055,Saint-Pierre-de-la-Rivière-du-Sud
Quebec,12,19,18,36,27,35,70,47,2418060,Saint-François-de-la-Rivière-du-Sud
Quebec,0,0,0,1,0,1,0,2,2418065,Berthier-sur-Mer
Quebec,6,8,7,9,9,15,10,6,2418070,Saint-Antoine-de-l'Isle-aux-Grues
Quebec,0,0,0,0,0,1,1,1,2419005,Saint-Philémon
Quebec,0,0,0,0,0,1,1,4,2419010,Notre-Dame-Auxiliatrice-de-Buckland
Quebec,0,0,3,2,2,5,8,3,2419015,Saint-Nazaire-de-Dorchester
Quebec,0,0,0,3,1,3,4,5,2419020,Saint-Léon-de-Standon
Quebec,0,2,0,0,1,1,2,4,2419025,Saint-Malachie
Quebec,6,6,2,38,48,61,21,69,2419030,Saint-Damien-de-Buckland
Quebec,0,0,0,2,2,2,1,3,2419037,Armagh
Quebec,4,8,9,5,11,19,13,16,2419050,Saint-Lazare-de-Bellechasse
Quebec,8,15,12,30,25,17,75,78,2419055,Sainte-Claire
Quebec,18,25,41,97,71,68,315,159,2419062,Saint-Anselme
Quebec,30,5,56,98,82,88,278,134,2419068,Saint-Henri
Quebec,0,0,0,1,1,5,8,18,2419070,Honfleur
Quebec,0,0,2,4,6,10,12,12,2419075,Saint-Gervais
Quebec,0,0,4,1,1,2,5,8,2419082,Saint-Raphaël
Quebec,16,10,13,15,14,15,29,25,2419090,La Durantaye
Quebec,61,50,60,77,12,110,51,100,2419097,Saint-Charles-de-Bellechasse
Quebec,0,2,7,14,13,14,21,74,2419105,Beaumont
Quebec,0,0,0,8,6,9,11,25,2419110,Saint-Michel-de-Bellechasse
Quebec,1,0,2,9,8,13,19,15,2419117,Saint-Vallier
Quebec,29,33,16,109,60,63,61,71,2420005,Saint-François-de-l'Île-d'Orléans
Quebec,51,19,30,58,72,55,96,83,2420010,Sainte-Famille
Quebec,219,281,244,29,355,494,370,406,2420015,Saint-Jean-de-l'Île-d'Orléans
Quebec,427,404,450,642,455,512,726,765,2420020,Saint-Laurent-de-l'Île-d'Orléans
Quebec,0,0,39,15,45,25,87,65,2420025,Saint-Pierre-de-l'Île-d'Orléans
Quebec,64,72,127,105,6,189,130,95,2420030,Sainte-Pétronille
Quebec,4,1,0,0,0,0,5,0,2421005,Saint-Tite-des-Caps
Quebec,5,3,2,8,4,9,4,4,2421010,Saint-Ferréol-les-Neiges
Quebec,0,0,0,0,1,0,0,1,2421020,Saint-Joachim
Quebec,0,0,1,2,2,1,17,24,2421025,Beaupré
Quebec,0,1,0,0,2,13,7,14,2421030,Sainte-Anne-de-Beaupré
Quebec,0,0,1,4,4,11,13,20,2421035,Château-Richer
Quebec,0,0,0,1,0,0,19,6,2421040,L'Ange-Gardien
Quebec,0,0,1,0,1,0,11,6,2421045,Boischatel
Quebec,2,0,1,11,11,7,37,21,2422005,Sainte-Catherine-de-la-Jacques-Cartier
Quebec,0,0,0,0,1,0,10,14,2422020,Shannon
Quebec,0,0,0,5,2,0,3,25,2422025,Saint-Gabriel-de-Valcartier
Quebec,0,0,0,0,0,0,0,3,2422030,Lac-Delage
Quebec,1,1,1,1,2,1,22,21,2422035,Stoneham-et-Tewkesbury
Quebec,2,5,9,5,2,1,18,15,2422040,Lac-Beauport
Quebec,0,0,0,0,6,16,43,30,2422045,Sainte-Brigitte-de-Laval
Quebec,245,326,639,"1,217","1,210","1,201","3,657","3,502",2423027,Québec
Quebec,1,0,4,9,14,15,72,129,2423057,L'Ancienne-Lorette
Quebec,22,17,45,66,137,111,452,270,2423072,Saint-Augustin-de-Desmaures
Quebec,0,0,0,1,1,1,5,0,2423802,Wendake
Quebec,332,281,294,709,676,873,"1,639","1,095",2425213,Lévis
Quebec,0,0,0,2,1,5,10,12,2426005,Frampton
Quebec,0,0,8,14,15,4,26,20,2426010,Saints-Anges
Quebec,0,119,0,129,125,14,205,30,2426015,Vallée-Jonction
Quebec,4,6,9,15,22,21,36,34,2426022,Saint-Elzéar
Quebec,15,14,29,79,105,83,338,212,2426030,Sainte-Marie
Quebec,0,0,2,21,4,9,14,11,2426035,Sainte-Marguerite
Quebec,0,0,1,1,5,5,8,4,2426040,Sainte-Hénédine
Quebec,0,1,3,5,18,40,51,54,2426048,Scott
Quebec,45,14,31,82,91,100,109,71,2426055,Saint-Bernard
Quebec,10,11,14,34,13,40,20,46,2426063,Saint-Isidore
Quebec,2,10,9,34,23,22,95,64,2426070,Saint-Lambert-de-Lauzon
Quebec,1,0,0,7,16,1,26,40,2427008,Saint-Victor
Quebec,0,0,0,0,0,0,0,1,2427015,Saint-Alfred
Quebec,0,2,1,22,30,28,103,53,2427028,Beauceville
Quebec,9,10,9,16,17,13,33,39,2427035,Saint-Odilon-de-Cranbourne
Quebec,12,15,26,40,61,70,73,100,2427043,Saint-Joseph-de-Beauce
Quebec,0,0,0,2,7,1,19,1,2427055,Saint-Jules
Quebec,0,1,4,6,7,10,16,10,2427060,Tring-Jonction
Quebec,0,3,3,7,5,5,19,23,2427065,Saint-Frédéric
Quebec,0,0,0,1,3,0,0,0,2427070,Saint-Séverin
Quebec,0,0,0,0,1,8,19,6,2428015,Sainte-Aurélie
Quebec,0,4,0,32,6,29,41,19,2428020,Saint-Prosper
Quebec,0,0,0,2,2,2,2,2,2428025,Saint-Benjamin
Quebec,0,5,0,2,1,2,5,3,2428030,Sainte-Rose-de-Watford
Quebec,9,33,20,69,39,25,104,48,2428045,Sainte-Justine
Quebec,0,1,3,2,0,7,7,3,2428053,Lac-Etchemin
Quebec,0,0,0,1,1,2,6,10,2429005,Saint-Théophile
Quebec,0,0,20,21,78,3,66,20,2429013,Saint-Gédéon-de-Beauce
Quebec,8,33,32,35,42,69,41,80,2429025,Saint-Évariste-de-Forsyth
Quebec,5,10,0,19,7,27,37,36,2429030,La Guadeloupe
Quebec,13,7,92,124,110,86,78,34,2429038,Saint-Honoré-de-Shenley
Quebec,0,0,15,20,36,29,61,30,2429045,Saint-Martin
Quebec,0,0,0,0,0,0,2,0,2429050,Saint-René
Quebec,8,1,12,13,28,23,89,31,2429057,Saint-Côme--Linière
Quebec,0,0,0,0,6,0,9,3,2429065,Saint-Philibert
Quebec,35,50,79,125,163,99,412,307,2429073,Saint-Georges
Quebec,7,4,16,18,14,19,51,52,2429100,Saint-Benoît-Labre
Quebec,2,2,17,63,56,46,115,42,2429112,Saint-Éphrem-de-Beauce
Quebec,0,0,10,0,0,0,0,0,2429125,Saint-Simon-les-Mines
Quebec,0,1,0,0,0,0,5,1,2430005,Saint-Augustin-de-Woburn
Quebec,0,0,0,0,0,1,0,0,2430010,Notre-Dame-des-Bois
Quebec,0,0,0,8,23,7,62,19,2430030,Lac-Mégantic
Quebec,0,0,0,0,0,6,0,0,2430040,Milan
Quebec,0,0,0,3,0,5,11,0,2430045,Nantes
Quebec,0,0,0,0,0,0,4,6,2430050,Sainte-Cécile-de-Whitton
Quebec,0,0,0,0,0,1,1,2,2430055,Audet
Quebec,0,0,0,2,3,2,3,2,2430070,Saint-Robert-Bellarmin
Quebec,0,0,16,8,16,4,30,13,2430072,Saint-Ludger
Quebec,20,31,35,64,31,76,48,35,2430080,Lac-Drolet
Quebec,1,0,0,3,3,2,20,7,2430085,Saint-Sébastien
Quebec,9,15,21,50,53,48,11,34,2430090,Courcelles
Quebec,4,2,2,7,12,12,22,14,2430095,Lambton
Quebec,4,6,5,4,10,3,40,42,2430100,Saint-Romain
Quebec,0,4,10,1,0,0,0,5,2430105,Stornoway
Quebec,6,6,9,8,8,18,11,13,2430110,Stratford
Quebec,0,0,1,1,0,0,0,0,2431008,Beaulac-Garthby
Quebec,1,1,20,23,18,34,28,14,2431020,Disraeli
Quebec,5,0,0,0,0,0,0,3,2431030,Saint-Fortunat
Quebec,2,2,6,8,0,6,9,6,2431035,Saint-Julien
Quebec,0,0,0,2,0,0,2,0,2431040,Irlande
Quebec,0,0,0,1,1,1,2,3,2431050,Sainte-Praxède
Quebec,15,0,17,164,276,203,288,182,2431056,Adstock
Quebec,85,83,74,27,48,42,54,32,2431060,Sainte-Clotilde-de-Beauce
Quebec,8,24,83,143,153,158,316,175,2431084,Thetford Mines
Quebec,0,0,0,0,0,1,3,3,2431095,Saint-Adrien-d'Irlande
Quebec,0,0,0,5,9,10,13,9,2431100,Saint-Jean-de-Brébeuf
Quebec,0,0,2,2,8,7,7,7,2431105,Kinnear's Mills
Quebec,2,2,3,13,15,9,15,8,2431122,East Broughton
Quebec,0,0,2,15,17,9,25,15,2431135,Saint-Pierre-de-Broughton
Quebec,0,4,55,17,10,4,21,10,2431140,Saint-Jacques-de-Leeds
Quebec,25,25,25,6,0,4,6,7,2432013,Saint-Ferdinand
Quebec,1,0,3,2,3,1,4,0,2432023,Sainte-Sophie-d'Halifax
Quebec,23,33,82,79,138,119,194,64,2432033,Princeville
Quebec,15,7,22,30,18,86,154,95,2432040,Plessisville
Quebec,31,20,31,103,86,49,182,105,2432045,Plessisville
Quebec,0,0,3,0,0,1,0,2,2432050,Saint-Pierre-Baptiste
Quebec,5,7,6,8,11,18,8,10,2432058,Inverness
Quebec,11,7,18,57,31,55,70,59,2432065,Lyster
Quebec,17,7,14,12,14,37,63,50,2432072,Laurierville
Quebec,96,77,96,94,89,40,83,60,2432080,Notre-Dame-de-Lourdes
Quebec,7,8,12,19,55,41,86,68,2432085,Villeroy
Quebec,51,19,38,56,35,83,40,52,2433007,Saint-Sylvestre
Quebec,9,5,10,30,25,15,10,19,2433017,Sainte-Agathe-de-Lotbinière
Quebec,5,2,12,18,11,20,37,19,2433030,Saint-Narcisse-de-Beaurivage
Quebec,10,2,7,17,0,13,14,27,2433035,Saint-Gilles
Quebec,7,4,12,20,31,22,30,37,2433040,Dosquet
Quebec,1,2,4,8,10,4,40,39,2433045,Saint-Agapit
Quebec,15,13,12,19,16,20,15,22,2433052,Saint-Flavien
Quebec,0,0,7,19,24,32,76,45,2433060,Laurier-Station
Quebec,0,0,5,7,2,20,11,15,2433065,Saint-Janvier-de-Joly
Quebec,0,2,6,3,14,4,13,14,2433070,Val-Alain
Quebec,3,5,18,27,39,41,102,32,2433080,Saint-Édouard-de-Lotbinière
Quebec,0,1,4,3,2,7,4,9,2433085,Notre-Dame-du-Sacré-Coeur-d'Issoudun
Quebec,116,91,113,93,88,68,118,88,2433090,Saint-Apollinaire
Quebec,4,2,7,14,32,41,42,72,2433095,Saint-Antoine-de-Tilly
Quebec,13,21,7,28,19,22,95,48,2433102,Sainte-Croix
Quebec,4,1,6,3,7,6,22,8,2433115,Lotbinière
Quebec,0,0,3,4,4,4,6,6,2433123,Leclercville
Quebec,15,18,35,32,48,30,48,51,2434007,Neuville
Quebec,60,60,58,111,167,159,245,128,2434017,Pont-Rouge
Quebec,0,7,2,18,9,29,80,45,2434025,Donnacona
Quebec,5,8,12,13,16,16,18,16,2434030,Cap-Santé
Quebec,5,7,11,16,13,19,14,13,2434038,Saint-Basile
Quebec,24,28,31,35,68,109,99,143,2434048,Portneuf
Quebec,0,9,4,18,5,7,11,27,2434058,Deschambault-Grondines
Quebec,0,0,0,4,3,0,11,3,2434060,Saint-Gilbert
Quebec,2,0,4,5,1,2,30,20,2434065,Saint-Marc-des-Carrières
Quebec,1,0,7,1,1,7,7,2,2434078,Saint-Casimir
Quebec,2,2,2,4,5,7,8,10,2434085,Saint-Thuribe
Quebec,13,22,19,76,77,100,77,105,2434090,Saint-Ubalde
Quebec,0,1,5,2,4,1,12,31,2434097,Saint-Alban
Quebec,12,6,9,17,4,0,3,0,2434105,Sainte-Christine-d'Auvergne
Quebec,0,0,1,5,53,8,65,55,2434128,Saint-Raymond
Quebec,0,0,0,6,4,2,15,27,2434135,Rivière-à-Pierre
Quebec,0,0,0,0,0,0,0,1,2435010,Lac-aux-Sables
Quebec,4,5,3,3,4,2,0,17,2435015,Saint-Adelphe
Quebec,0,0,0,1,1,1,0,1,2435020,Saint-Séverin
Quebec,1,6,7,7,14,11,17,13,2435027,Saint-Tite
Quebec,0,0,2,3,1,3,5,3,2435035,Hérouxville
Quebec,0,0,0,0,0,0,0,1,2435045,Saint-Roch-de-Mékinac
Quebec,0,0,0,1,6,6,17,13,2435050,Sainte-Thècle
Quebec,0,0,0,0,0,1,3,2,2435055,Trois-Rives
Quebec,72,141,42,205,90,201,208,206,2436033,Shawinigan
Quebec,23,20,86,229,203,142,509,407,2437067,Trois-Rivières
Quebec,25,59,33,39,12,11,15,11,2437205,Sainte-Anne-de-la-Pérade
Quebec,20,3,10,14,15,18,15,20,2437210,Batiscan
Quebec,5,5,4,8,1,10,10,12,2437215,Sainte-Geneviève-de-Batiscan
Quebec,28,18,16,37,31,52,65,36,2437220,Champlain
Quebec,0,1,4,4,3,6,4,4,2437225,Saint-Luc-de-Vincennes
Quebec,3,3,2,6,3,12,17,10,2437230,Saint-Maurice
Quebec,0,0,0,17,25,22,31,22,2437235,Notre-Dame-du-Mont-Carmel
Quebec,0,2,2,9,3,1,11,11,2437240,Saint-Narcisse
Quebec,1,1,1,1,0,2,1,1,2437250,Saint-Prosper-de-Champlain
Quebec,0,1,5,16,8,6,25,21,2438005,Saint-Sylvère
Quebec,3,7,15,35,31,131,107,162,2438010,Bécancour
Quebec,0,0,0,1,0,1,2,2,2438015,Sainte-Marie-de-Blandford
Quebec,19,5,14,26,14,25,21,3,2438020,Lemieux
Quebec,0,4,6,8,10,15,17,42,2438028,Manseau
Quebec,0,0,3,5,13,11,9,14,2438035,Sainte-Françoise
Quebec,10,10,9,23,24,21,33,23,2438040,Sainte-Sophie-de-Lévrard
Quebec,0,0,5,8,11,11,16,9,2438047,Fortierville
Quebec,3,0,4,13,7,12,16,14,2438055,Parisville
Quebec,0,4,4,4,7,6,8,5,2438060,Sainte-Cécile-de-Lévrard
Quebec,0,0,0,0,0,0,3,4,2438065,Saint-Pierre-les-Becquets
Quebec,0,1,1,3,3,2,4,3,2438070,Deschaillons-sur-Saint-Laurent
Quebec,0,0,0,0,0,0,0,2,2438802,Wôlinak
Quebec,0,0,1,0,0,0,0,0,2439005,Saints-Martyrs-Canadiens
Quebec,27,24,53,33,41,38,39,51,2439010,Ham-Nord
Quebec,0,0,6,10,9,6,11,8,2439020,Saint-Rémi-de-Tingwick
Quebec,7,24,38,42,55,75,53,41,2439025,Tingwick
Quebec,0,3,7,5,0,7,4,6,2439030,Chesterville
Quebec,0,0,2,0,2,0,0,0,2439035,Sainte-Hélène-de-Chester
Quebec,0,1,2,4,1,4,1,4,2439043,Saint-Norbert-d'Arthabaska
Quebec,11,9,18,10,25,10,25,23,2439060,Saint-Christophe-d'Arthabaska
Quebec,72,84,68,170,198,179,454,366,2439062,Victoriaville
Quebec,1,6,40,25,38,28,82,67,2439077,Warwick
Quebec,10,13,30,43,31,50,84,44,2439085,Saint-Albert
Quebec,2,6,17,44,37,112,220,161,2439097,Kingsey Falls
Quebec,2,5,11,21,10,9,9,16,2439117,Sainte-Clotilde-de-Horton
Quebec,0,3,11,9,4,8,3,18,2439130,Saint-Samuel
Quebec,0,4,2,8,0,4,31,29,2439135,Saint-Valère
Quebec,14,11,19,13,17,10,21,27,2439145,Saint-Rosaire
Quebec,0,2,14,3,21,19,35,31,2439165,Maddington Falls
Quebec,147,103,174,187,169,137,213,198,2439170,Saint-Louis-de-Blandford
Quebec,0,2,3,16,13,14,20,34,2440017,Wotton
Quebec,0,5,8,20,12,10,35,87,2440043,Asbestos
Quebec,19,17,44,44,38,35,63,21,2440047,Danville
Quebec,0,0,0,0,0,1,2,4,2441012,Saint-Isidore-de-Clifton
Quebec,0,0,0,24,8,16,1,1,2441020,Chartierville
Quebec,0,0,18,14,11,27,23,24,2441027,La Patrie
Quebec,70,38,41,42,60,55,80,69,2441038,Cookshire-Eaton
Quebec,0,0,0,4,0,7,13,6,2441055,Ascot Corner
Quebec,0,0,0,0,2,0,10,14,2441065,Westbury
Quebec,33,26,86,80,23,44,62,59,2441070,Bury
Quebec,0,0,0,0,1,8,6,7,2441080,Scotstown
Quebec,0,0,0,0,0,0,0,2,2441085,Lingwick
Quebec,0,0,5,9,136,9,23,16,2441098,Weedon
Quebec,0,0,0,0,0,1,0,0,2441117,Dudswell
Quebec,7,7,23,6,16,32,50,63,2442005,Stoke
Quebec,0,0,5,19,29,13,26,21,2442020,Saint-François-Xavier-de-Brompton
Quebec,0,0,1,1,0,2,4,12,2442025,Saint-Denis-de-Brompton
Quebec,0,0,0,1,2,2,8,10,2442032,Racine
Quebec,0,3,0,9,3,2,226,0,2442040,Bonsecours
Quebec,1,1,0,0,0,0,0,0,2442045,Lawrenceville
Quebec,0,0,0,2,4,8,4,0,2442050,Sainte-Anne-de-la-Rochelle
Quebec,25,19,17,23,27,27,47,54,2442060,Valcourt
Quebec,0,0,0,0,0,1,7,7,2442065,Maricourt
Quebec,1,1,0,5,6,14,16,35,2442075,Melbourne
Quebec,5,13,0,13,14,6,49,14,2442088,Windsor
Quebec,12,18,20,21,18,20,23,19,2442095,Val-Joli
Quebec,0,7,4,9,18,7,49,74,2442098,Richmond
Quebec,0,0,2,5,0,0,0,0,2442100,Saint-Claude
Quebec,85,71,133,232,430,471,841,711,2443027,Sherbrooke
Quebec,0,0,0,1,0,1,3,1,2444003,Saint-Malo
Quebec,3,8,11,29,17,14,30,21,2444010,East Hereford
Quebec,0,0,0,0,15,9,12,12,2444015,Saint-Herménégilde
Quebec,0,0,0,0,6,3,3,5,2444023,Dixville
Quebec,30,23,82,109,113,113,104,166,2444037,Coaticook
Quebec,1,0,5,7,3,6,12,49,2444055,Sainte-Edwidge-de-Clifton
Quebec,0,0,0,0,0,1,4,5,2444060,Martinville
Quebec,31,41,188,318,96,54,140,74,2444071,Compton
Quebec,4,2,1,0,4,0,57,25,2444080,Waterville
Quebec,0,2,12,13,14,17,30,41,2445008,Stanstead
Quebec,0,0,0,0,14,1,73,35,2445020,Ogden
Quebec,0,1,0,0,2,5,15,8,2445030,Potton
Quebec,17,12,14,12,3,28,12,11,2445035,Ayer's Cliff
Quebec,32,0,19,52,44,35,74,68,2445043,Hatley
Quebec,1,2,5,2,6,7,19,36,2445055,Hatley
Quebec,0,0,0,0,0,2,2,7,2445060,Sainte-Catherine-de-Hatley
Quebec,14,5,7,36,65,31,125,163,2445072,Magog
Quebec,0,0,0,1,0,0,0,0,2445085,Austin
Quebec,0,0,0,1,0,2,6,7,2445093,Eastman
Quebec,0,0,0,0,0,2,0,0,2445095,Bolton-Est
Quebec,0,0,0,0,1,1,15,19,2445115,Orford
Quebec,6,2,6,7,0,3,0,16,2446005,Abercorn
Quebec,207,192,172,244,206,245,233,215,2446010,Frelighsburg
Quebec,12,11,12,15,17,25,28,17,2446017,Saint-Armand
Quebec,0,0,2,7,6,4,10,6,2446025,Pike River
Quebec,3,3,3,3,0,42,13,7,2446030,Stanbridge Station
Quebec,45,42,51,77,102,116,133,182,2446040,Bedford
Quebec,14,4,9,11,15,10,17,17,2446045,Stanbridge East
Quebec,173,126,156,210,205,173,250,235,2446050,Dunham
Quebec,23,20,20,26,36,37,32,41,2446058,Sutton
Quebec,0,0,0,0,0,1,12,2,2446065,Bolton-Ouest
Quebec,16,9,2,28,30,49,105,111,2446075,Lac-Brome
Quebec,7,6,8,3,9,15,74,69,2446078,Bromont
Quebec,0,0,1,5,19,14,58,68,2446080,Cowansville
Quebec,0,0,1,2,2,2,11,0,2446085,East Farnham
Quebec,2,9,3,15,7,6,19,10,2446090,Brigham
Quebec,0,0,5,0,9,14,7,11,2446095,Saint-Ignace-de-Stanbridge
Quebec,0,0,0,0,2,6,5,9,2446100,Notre-Dame-de-Stanbridge
Quebec,26,13,3,45,17,35,87,37,2446105,Sainte-Sabine
Quebec,4,11,10,20,29,23,59,51,2446112,Farnham
Quebec,0,2,5,7,41,33,34,45,2447010,Saint-Alphonse-de-Granby
Quebec,8,21,27,82,88,91,391,264,2447017,Granby
Quebec,0,0,0,0,3,5,24,6,2447025,Waterloo
Quebec,0,0,3,3,2,3,4,6,2447035,Shefford
Quebec,0,0,0,0,2,12,10,7,2447040,Saint-Joachim-de-Shefford
Quebec,0,0,1,5,9,14,20,18,2447047,Roxton Pond
Quebec,6,10,0,35,9,9,11,40,2447055,Sainte-Cécile-de-Milton
Quebec,0,0,0,1,0,2,5,4,2448005,Béthanie
Quebec,0,0,0,5,18,4,13,9,2448020,Sainte-Christine
Quebec,2,0,3,3,39,13,99,42,2448028,Acton Vale
Quebec,2,5,26,32,29,38,69,45,2448038,Upton
Quebec,3,5,7,23,12,19,19,18,2448045,Saint-Théodore-d'Acton
Quebec,0,0,0,7,3,26,25,11,2448050,Saint-Nazaire-d'Acton
Quebec,2,0,0,2,1,10,13,14,2449005,Saint-Félix-de-Kingsey
Quebec,0,0,0,4,3,7,8,6,2449020,Lefebvre
Quebec,10,7,13,6,9,13,19,25,2449025,L'Avenir
Quebec,73,60,99,73,13,56,55,73,2449030,Saint-Lucien
Quebec,0,1,11,35,76,147,107,84,2449040,Wickham
Quebec,13,23,23,77,57,70,142,110,2449048,Saint-Germain-de-Grantham
Quebec,40,89,142,364,237,305,748,598,2449058,Drummondville
