program_stream,2016,2017,2018,2019,2020,2021,2022,2023,province_region,region_code,region_name
Permanent Resident Only,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Manitoba,4680,North
High-wage,175.0,95.0,86.0,136.0,77.0,110.0,222.0,222.0,Saskatchewan,4710,Regina--Moose Mountain
Low-wage,73.0,69.0,74.0,85.0,47.0,88.0,267.0,383.0,Saskatchewan,4710,Regina--Moose Mountain
Primary Agriculture,57.0,73.0,77.0,99.0,89.0,90.0,145.0,114.0,Saskatchewan,4710,Regina--Moose Mountain
Global Talent Stream,0.0,0.0,0.0,3.0,5.0,4.0,5.0,2.0,Saskatchewan,4710,Regina--Moose Mountain
Permanent Resident Only,3.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,Saskatchewan,4710,Regina--Moose Mountain
High-wage,9.0,18.0,9.0,41.0,11.0,14.0,45.0,64.0,Saskatchewan,4720,Swift Current--Moose Jaw
Low-wage,21.0,21.0,15.0,53.0,37.0,22.0,148.0,114.0,Saskatchewan,4720,Swift Current--Moose Jaw
Primary Agriculture,67.0,68.0,61.0,115.0,101.0,42.0,155.0,132.0,Saskatchewan,4720,Swift Current--Moose Jaw
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Saskatchewan,4720,Swift Current--Moose Jaw
Permanent Resident Only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Saskatchewan,4720,Swift Current--Moose Jaw
High-wage,78.0,74.0,86.0,72.0,69.0,113.0,222.0,228.0,Saskatchewan,4730,Saskatoon--Biggar
Low-wage,58.0,54.0,65.0,67.0,59.0,74.0,295.0,448.0,Saskatchewan,4730,Saskatoon--Biggar
Primary Agriculture,140.0,154.0,189.0,172.0,161.0,152.0,156.0,270.0,Saskatchewan,4730,Saskatoon--Biggar
Global Talent Stream,0.0,0.0,11.0,19.0,7.0,25.0,16.0,2.0,Saskatchewan,4730,Saskatoon--Biggar
Permanent Resident Only,8.0,1.0,0.0,1.0,5.0,1.0,0.0,5.0,Saskatchewan,4730,Saskatoon--Biggar
High-wage,14.0,13.0,12.0,25.0,8.0,6.0,19.0,43.0,Saskatchewan,4740,Yorkton--Melville
Low-wage,31.0,19.0,20.0,27.0,24.0,13.0,62.0,106.0,Saskatchewan,4740,Yorkton--Melville
Primary Agriculture,71.0,94.0,59.0,123.0,113.0,78.0,110.0,133.0,Saskatchewan,4740,Yorkton--Melville
Permanent Resident Only,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,Saskatchewan,4740,Yorkton--Melville
High-wage,38.0,36.0,43.0,41.0,39.0,57.0,68.0,86.0,Saskatchewan,4750,Prince Albert
Low-wage,35.0,55.0,41.0,54.0,26.0,55.0,159.0,173.0,Saskatchewan,4750,Prince Albert
Primary Agriculture,208.0,216.0,203.0,290.0,278.0,241.0,305.0,551.0,Saskatchewan,4750,Prince Albert
Permanent Resident Only,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,Saskatchewan,4750,Prince Albert
High-wage,9.0,3.0,3.0,4.0,2.0,2.0,2.0,5.0,Saskatchewan,4760,Northern
Low-wage,1.0,3.0,3.0,4.0,0.0,2.0,16.0,4.0,Saskatchewan,4760,Northern
Primary Agriculture,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Saskatchewan,4760,Northern
High-wage,62.0,51.0,24.0,59.0,18.0,14.0,82.0,119.0,Alberta,4810,Lethbridge--Medicine Hat
Low-wage,235.0,407.0,234.0,417.0,404.0,252.0,950.0,769.0,Alberta,4810,Lethbridge--Medicine Hat
Primary Agriculture,1143.0,987.0,1014.0,1186.0,1017.0,1313.0,1153.0,1825.0,Alberta,4810,Lethbridge--Medicine Hat
Global Talent Stream,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Alberta,4810,Lethbridge--Medicine Hat
Permanent Resident Only,23.0,3.0,8.0,3.0,0.0,1.0,6.0,9.0,Alberta,4810,Lethbridge--Medicine Hat
High-wage,44.0,24.0,28.0,50.0,10.0,24.0,139.0,139.0,Alberta,4820,Camrose--Drumheller
Low-wage,207.0,177.0,175.0,226.0,163.0,170.0,540.0,510.0,Alberta,4820,Camrose--Drumheller
Primary Agriculture,233.0,269.0,319.0,330.0,277.0,375.0,428.0,521.0,Alberta,4820,Camrose--Drumheller
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,Alberta,4820,Camrose--Drumheller
Permanent Resident Only,13.0,7.0,9.0,4.0,2.0,5.0,7.0,5.0,Alberta,4820,Camrose--Drumheller
Unspecified,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alberta,4820,Camrose--Drumheller
High-wage,731.0,578.0,513.0,1224.0,720.0,463.0,2632.0,3057.0,Alberta,4830,Calgary
Low-wage,1623.0,1572.0,1478.0,1955.0,1126.0,1325.0,3696.0,5240.0,Alberta,4830,Calgary
Primary Agriculture,191.0,172.0,239.0,215.0,219.0,211.0,230.0,480.0,Alberta,4830,Calgary
Global Talent Stream,0.0,9.0,46.0,85.0,50.0,138.0,424.0,115.0,Alberta,4830,Calgary
Permanent Resident Only,308.0,70.0,66.0,62.0,45.0,40.0,81.0,91.0,Alberta,4830,Calgary
High-wage,36.0,31.0,31.0,76.0,18.0,15.0,34.0,65.0,Alberta,4840,Banff--Jasper--Rocky Mountain House
Low-wage,268.0,296.0,240.0,486.0,243.0,276.0,1204.0,800.0,Alberta,4840,Banff--Jasper--Rocky Mountain House
Primary Agriculture,13.0,38.0,68.0,62.0,44.0,46.0,56.0,80.0,Alberta,4840,Banff--Jasper--Rocky Mountain House
Permanent Resident Only,26.0,3.0,14.0,2.0,3.0,4.0,4.0,3.0,Alberta,4840,Banff--Jasper--Rocky Mountain House
High-wage,39.0,49.0,37.0,67.0,37.0,25.0,107.0,122.0,Alberta,4850,Red Deer
Low-wage,183.0,190.0,157.0,207.0,118.0,166.0,725.0,560.0,Alberta,4850,Red Deer
Primary Agriculture,144.0,200.0,248.0,228.0,259.0,233.0,334.0,454.0,Alberta,4850,Red Deer
Global Talent Stream,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,Alberta,4850,Red Deer
Permanent Resident Only,29.0,3.0,13.0,5.0,3.0,4.0,9.0,5.0,Alberta,4850,Red Deer
High-wage,908.0,839.0,784.0,1634.0,662.0,696.0,2869.0,2979.0,Alberta,4860,Edmonton
Low-wage,1847.0,1708.0,1402.0,2227.0,1254.0,1740.0,4708.0,5925.0,Alberta,4860,Edmonton
Primary Agriculture,254.0,228.0,265.0,264.0,268.0,237.0,239.0,389.0,Alberta,4860,Edmonton
Global Talent Stream,0.0,2.0,31.0,27.0,25.0,41.0,55.0,30.0,Alberta,4860,Edmonton
Permanent Resident Only,286.0,45.0,81.0,58.0,35.0,49.0,192.0,126.0,Alberta,4860,Edmonton
Unspecified,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alberta,4860,Edmonton
High-wage,65.0,55.0,57.0,119.0,42.0,62.0,115.0,220.0,Alberta,4870,Athabasca--Grande Prairie--Peace River
Low-wage,374.0,415.0,382.0,606.0,309.0,450.0,1113.0,978.0,Alberta,4870,Athabasca--Grande Prairie--Peace River
Primary Agriculture,201.0,281.0,341.0,401.0,278.0,290.0,347.0,507.0,Alberta,4870,Athabasca--Grande Prairie--Peace River
Global Talent Stream,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Alberta,4870,Athabasca--Grande Prairie--Peace River
Permanent Resident Only,40.0,16.0,3.0,0.0,3.0,1.0,9.0,10.0,Alberta,4870,Athabasca--Grande Prairie--Peace River
High-wage,111.0,79.0,106.0,85.0,59.0,48.0,161.0,99.0,Alberta,4880,Wood Buffalo--Cold Lake
Low-wage,314.0,412.0,281.0,330.0,202.0,245.0,585.0,579.0,Alberta,4880,Wood Buffalo--Cold Lake
Primary Agriculture,94.0,110.0,111.0,119.0,151.0,110.0,109.0,212.0,Alberta,4880,Wood Buffalo--Cold Lake
Global Talent Stream,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,Alberta,4880,Wood Buffalo--Cold Lake
Permanent Resident Only,12.0,9.0,9.0,2.0,2.0,4.0,1.0,8.0,Alberta,4880,Wood Buffalo--Cold Lake
High-wage,1049.0,206.0,100.0,218.0,167.0,195.0,478.0,453.0,British Columbia,5910,Vancouver Island and Coast
Low-wage,237.0,472.0,509.0,773.0,785.0,1069.0,2408.0,2112.0,British Columbia,5910,Vancouver Island and Coast
Primary Agriculture,169.0,197.0,261.0,278.0,287.0,281.0,355.0,477.0,British Columbia,5910,Vancouver Island and Coast
Global Talent Stream,0.0,7.0,26.0,23.0,18.0,17.0,27.0,10.0,British Columbia,5910,Vancouver Island and Coast
Permanent Resident Only,36.0,10.0,20.0,10.0,21.0,11.0,13.0,69.0,British Columbia,5910,Vancouver Island and Coast
High-wage,4643.0,5235.0,4100.0,8501.0,6266.0,6326.0,10932.0,10026.0,British Columbia,5920,Lower Mainland--Southwest
Low-wage,2470.0,3851.0,4821.0,6390.0,5156.0,5422.0,9764.0,9496.0,British Columbia,5920,Lower Mainland--Southwest
Primary Agriculture,5465.0,6463.0,9777.0,6957.0,8674.0,7637.0,9208.0,14151.0,British Columbia,5920,Lower Mainland--Southwest
Global Talent Stream,0.0,362.0,777.0,783.0,607.0,1039.0,1512.0,561.0,British Columbia,5920,Lower Mainland--Southwest
Permanent Resident Only,732.0,242.0,226.0,259.0,475.0,298.0,244.0,949.0,British Columbia,5920,Lower Mainland--Southwest
High-wage,107.0,134.0,154.0,211.0,155.0,242.0,644.0,534.0,British Columbia,5930,Thompson--Okanagan
Low-wage,218.0,386.0,449.0,615.0,590.0,796.0,2371.0,1896.0,British Columbia,5930,Thompson--Okanagan
Primary Agriculture,3890.0,3886.0,6210.0,5460.0,6178.0,5816.0,6452.0,9206.0,British Columbia,5930,Thompson--Okanagan
Global Talent Stream,0.0,4.0,3.0,6.0,6.0,7.0,7.0,4.0,British Columbia,5930,Thompson--Okanagan
Permanent Resident Only,28.0,10.0,14.0,7.0,20.0,21.0,13.0,54.0,British Columbia,5930,Thompson--Okanagan
High-wage,32.0,21.0,21.0,48.0,56.0,52.0,101.0,114.0,British Columbia,5940,Kootenay
Low-wage,63.0,85.0,71.0,162.0,126.0,113.0,408.0,372.0,British Columbia,5940,Kootenay
Primary Agriculture,128.0,135.0,364.0,234.0,415.0,312.0,652.0,1165.0,British Columbia,5940,Kootenay
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,British Columbia,5940,Kootenay
Permanent Resident Only,1.0,1.0,3.0,2.0,2.0,2.0,1.0,8.0,British Columbia,5940,Kootenay
High-wage,66.0,30.0,27.0,69.0,54.0,59.0,93.0,109.0,British Columbia,5950,Cariboo
Low-wage,65.0,72.0,78.0,108.0,85.0,99.0,284.0,322.0,British Columbia,5950,Cariboo
Primary Agriculture,13.0,48.0,151.0,267.0,185.0,85.0,136.0,137.0,British Columbia,5950,Cariboo
Global Talent Stream,0.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,British Columbia,5950,Cariboo
Permanent Resident Only,12.0,1.0,6.0,1.0,1.0,1.0,3.0,16.0,British Columbia,5950,Cariboo
High-wage,20.0,12.0,34.0,72.0,38.0,40.0,161.0,51.0,British Columbia,5960,North Coast
Low-wage,36.0,27.0,49.0,90.0,76.0,111.0,191.0,240.0,British Columbia,5960,North Coast
Primary Agriculture,0.0,1.0,0.0,1.0,4.0,3.0,2.0,15.0,British Columbia,5960,North Coast
Global Talent Stream,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,British Columbia,5960,North Coast
Permanent Resident Only,5.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,British Columbia,5960,North Coast
High-wage,11.0,9.0,3.0,15.0,11.0,37.0,82.0,37.0,British Columbia,5970,Nechako
Low-wage,15.0,16.0,30.0,45.0,58.0,75.0,140.0,127.0,British Columbia,5970,Nechako
Primary Agriculture,0.0,3.0,1.0,51.0,4.0,13.0,22.0,15.0,British Columbia,5970,Nechako
Permanent Resident Only,2.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,British Columbia,5970,Nechako
High-wage,23.0,41.0,51.0,101.0,28.0,35.0,195.0,92.0,British Columbia,5980,Northeast
Low-wage,46.0,67.0,81.0,151.0,79.0,132.0,236.0,262.0,British Columbia,5980,Northeast
Primary Agriculture,0.0,1.0,2.0,1.0,2.0,55.0,7.0,77.0,British Columbia,5980,Northeast
Permanent Resident Only,9.0,4.0,2.0,2.0,1.0,5.0,3.0,4.0,British Columbia,5980,Northeast
High-wage,81.0,102.0,98.0,111.0,34.0,118.0,124.0,114.0,Yukon,6010,Yukon
Low-wage,26.0,16.0,9.0,28.0,5.0,8.0,33.0,22.0,Yukon,6010,Yukon
Global Talent Stream,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Yukon,6010,Yukon
Permanent Resident Only,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yukon,6010,Yukon
High-wage,25.0,23.0,2.0,9.0,2.0,0.0,15.0,20.0,Northwest Territories,6110,Northwest Territories
Low-wage,39.0,23.0,19.0,46.0,26.0,29.0,115.0,102.0,Northwest Territories,6110,Northwest Territories
Primary Agriculture,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Northwest Territories,6110,Northwest Territories
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Northwest Territories,6110,Northwest Territories
High-wage,57.0,34.0,49.0,29.0,28.0,30.0,24.0,45.0,Nunavut,6210,Nunavut
Low-wage,88.0,6.0,83.0,104.0,18.0,33.0,64.0,76.0,Nunavut,6210,Nunavut
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nunavut,6210,Nunavut
Permanent Resident Only,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Nunavut,6210,Nunavut
